method,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,pre_relax_max_force_ev_ang,formal_seed
A0,20030,A0_seed_20030,-79.63910675048828,-6.6365922292073565,0.0496450550854206,True,0.5780554109951481,17,ZnFe3,Fe-Zn,7e14e9d8020b7e48d02cfc3e609dc166f8e16eb15bbf8dd49c997d525041bd9f,feab06a767fea0105321f6523d073524a988d54c90f08536411c2989afb82625,0.0514883956999154,0.0051634933254321,True,True,True,True,True,True,True,True,True,True,True,0.0514883956999154,0.0349540048582488,2.442531736603225,False,False,0.10669581891187718,20030
A0,20031,A0_seed_20031,-39.05057907104492,-7.810115814208984,0.0122225722298026,True,0.4081915069837123,15,Eu3H2,Eu-H,613b365ab8bcd67709809bca5d4f341bbb895e027b97f393339c43b7337e1965,40b9b4be9c0d0af3db4ca83505db8822db613c80eff0471bb2cefb5c3f9d0028,0.0834091571104451,0.0028212720980405,True,True,False,False,True,True,True,True,True,True,True,0.0834091571104451,0.0414408127643319,2.404207063508211,False,False,0.1209657094503108,20031
A0,20032,A0_seed_20032,-71.82775115966797,-7.980861239963108,0.0468055792152881,True,2.4208296660217457,85,EuFeGe,Eu-Fe-Ge,9fd061f5d630cc56c32bec031c7605b39c6a821cc0aeb47d541f1d1352b456cb,e63c304f4438e5e6bbebe2c28b7d6ec36efe76d4cb3dc2d85383d2e1da66acfb,0.3099034136475449,0.2535149305818215,False,False,True,True,True,True,True,True,True,True,True,0.3099034136475449,0.3099034136475449,2.5055542889414606,False,False,0.2476285423167964,20032
A0,20033,A0_seed_20033,-47.384376525878906,-6.769196646554129,0.0034501336049288,True,0.3214529450051486,12,Eu3PbI3,Eu-I-Pb,05c4b698f57496e7e61f6bbe3082557f47b0dfe391203486d8479173db793c51,cfe9b3ceff6ab9d8dd659cca8f5ae9fa0e3c53e8c9fa250c78fea5247d6bce30,0.078663251060167,0.0018743274532424,True,True,False,False,True,True,True,True,True,True,True,0.078663251060167,0.078663251060167,3.2932647298323103,False,False,0.005874277305850322,20033
A0,20034,A0_seed_20034,-90.23033142089844,-7.51919428507487,0.0492928177118301,True,0.7730915719876066,29,ErFe3,Er-Fe,5cd839a836e086664b8ec76486ab4684ea4b6c5993cd7c3d96e531022042e7a5,6ec936dc5cbac79e8d306672a3c0cfa446be465320f4250e122e962b6cb533a6,0.0828972368403775,0.0093679610347832,True,True,True,True,True,True,True,True,True,True,True,0.0828972368403775,0.0,2.4633739447949567,False,False,0.1793597269541894,20034
A0,20035,A0_seed_20035,-63.09818649291992,-7.010909610324436,0.0490891858935356,True,0.9561539069982246,35,Fe5Pd4,Fe-Pd,392ed4f8e715f07c9ed349ecb84fbdd5d9515af84250069b2daddc7a8ef4c635,eb564503b3745c561421492af098061cb889ffe048a1813c71df7ad431bc9471,0.0734707089649688,0.0137739363628346,True,True,True,True,True,True,True,True,True,True,True,0.0734707089649688,0.0,2.5812675955331223,False,False,0.1545495488738984,20035
A0,20036,A0_seed_20036,-50.57991027832031,-12.644977569580078,0.0150512540712952,True,0.1130007059546187,4,Gd2NO,Gd-N-O,cd7b661a0e0ca5ee6a20f6bc3c326fa7c7777a1336ec946aab6b0ff9fe6b452f,af7fef5b462778ff947c5b3a52e0f0bbbeaa2cf6c22d6186c17fb570dc0a355b,0.0306759164252721,0.0011957474243784,False,True,True,True,True,False,False,True,True,False,True,0.0306759164252721,0.0,2.466702948402198,False,False,0.018117587648883837,20036
A0,20037,A0_seed_20037,-90.88031768798828,-7.573359807332356,0.0467975437641143,True,0.5931422769790515,17,Nd2DyMn2Fe7,Dy-Fe-Mn-Nd,c5888a32b48ef8619ab6389e9feea327bdb23eaf88fcc0227d363c0f61d648ba,a9d1580e017aa24a582343b8828d82fcb9b48d14c1c619fe784c8b107879a9c9,0.1066791168111489,0.0053059966099383,False,False,True,True,True,True,True,True,True,True,False,0.1066791168111489,0.1066791168111489,2.4165540607615448,False,False,0.1310382871948987,20037
A0,20038,A0_seed_20038,-117.0542221069336,-6.503012339274089,0.0428069196641445,True,0.9098192270030268,30,Mn3OF5,F-Mn-O,125e4a4fa28901072b7e2142fa128f8d378d479ceae0232b15d86631d4a6b308,f254f224a822fef68243d412d6cde35bf94f765b46352827a91fc3dd814efd34,0.1495058470026418,0.0103200930536383,False,False,True,True,True,False,False,True,True,False,True,0.1495058470026418,0.1495058470026418,1.9378185807403974,False,False,0.46834120567758136,20038
A0,20039,A0_seed_20039,-94.45665740966795,-5.903541088104248,0.0476965345442295,True,2.1561758519965224,74,Li3MnFe2(HO4)2,Fe-H-Li-Mn-O,76227fad95c27114eecea5573dc4ffdb7102472a1b974c7ed3e03e08f6ae2f04,897f4bd2a30316eaaf72a2ee71f2db840e20478990d62de2b0fdcc88a2411c63,0.1733902559748692,0.0699143544064806,False,False,True,True,True,True,True,True,True,True,False,0.1733902559748692,0.1733902559748692,0.9724983666375782,False,False,0.8968248424757068,20039
