seed,gate_applied,a0_force,e3g_force,a0_force_source
20084,False,0.121049086194236,0.121049086194236,exact_gate_off_e3g_reuse
20085,True,0.07777749794873509,0.0823842735078742,new_mattersim_single_point_probe
20086,False,0.0758139490351029,0.0758139490351029,exact_gate_off_e3g_reuse
20087,True,0.7055942163212356,0.4991445586386624,new_mattersim_single_point_probe
20088,False,0.071661425662401,0.071661425662401,exact_gate_off_e3g_reuse
20089,True,0.1007657514866651,0.0836995595460513,new_mattersim_single_point_probe
20090,False,0.2583997722820421,0.2583997722820421,exact_gate_off_e3g_reuse
20091,True,1.0100207754861403,1.047727867692963,new_mattersim_single_point_probe
20092,True,0.3290876057034181,0.1697950097853305,new_mattersim_single_point_probe
20093,False,0.2500961884928118,0.2500961884928118,exact_gate_off_e3g_reuse
20094,True,0.04339082003171613,0.0723054214362075,new_mattersim_single_point_probe
20095,True,0.26575481459024713,0.1985176625974479,new_mattersim_single_point_probe
20096,False,0.0771009199375327,0.0771009199375327,exact_gate_off_e3g_reuse
20097,True,0.058911067508421955,0.0874930180205863,new_mattersim_single_point_probe
20098,True,1.0287806076710972,0.7132791822262977,new_mattersim_single_point_probe
20099,True,0.09316561872973232,0.0754361169937533,new_mattersim_single_point_probe
20100,True,0.742296293426923,0.5257595934083984,new_mattersim_single_point_probe
20101,False,0.0740995096636307,0.0740995096636307,exact_gate_off_e3g_reuse
20102,False,0.2106148951443279,0.2106148951443279,exact_gate_off_e3g_reuse
20103,False,0.011087538454813,0.011087538454813,exact_gate_off_e3g_reuse
20104,False,0.5575607460524148,0.5575607460524148,exact_gate_off_e3g_reuse
20105,True,0.127545258282992,0.1417976309314917,new_mattersim_single_point_probe
20106,True,0.07431147105511068,0.0655185193308662,new_mattersim_single_point_probe
20107,False,0.0074916838996406,0.0074916838996406,exact_gate_off_e3g_reuse
20108,True,1.0979974828943406,0.3960778315826438,new_mattersim_single_point_probe
20109,False,0.1659764624230373,0.1659764624230373,exact_gate_off_e3g_reuse
20110,True,0.27369650195235506,0.2292661149214355,new_mattersim_single_point_probe
20111,True,0.2939447036723514,0.2610856393399428,new_mattersim_single_point_probe
20112,True,0.7580220340904079,0.3239843591118709,new_mattersim_single_point_probe
20113,False,0.0798600965701279,0.0798600965701279,exact_gate_off_e3g_reuse
20114,False,0.1288604219663316,0.1288604219663316,exact_gate_off_e3g_reuse
20115,True,0.7055547349929191,0.1867775302520583,new_mattersim_single_point_probe
20116,True,0.08965906502725639,0.09532463144188,new_mattersim_single_point_probe
20117,False,0.0899341741314811,0.0899341741314811,exact_gate_off_e3g_reuse
