method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,relaxation_steps,minimum_periodic_distance_a,surrogate_property_eval,dft_verified
F0,730015,Co3Fe6,9,0.017750264392411175,0.011081665338040244,0.0003895967699678757,14,2.4492752840334497,True,False
F0,730016,Co2Fe6,8,0.020849164130969374,0.014575729499531773,0.002019252351244594,7,2.460694557463213,True,False
F0,730017,Co3Fe17,20,0.03245464027145733,0.01448957468296535,0.0005627081306790608,7,2.461149141497922,True,False
F0,730018,Co4Fe6,10,0.12991924785780629,0.06190171086053631,0.00370586153729154,38,2.4452666249395176,True,False
F0,730019,Co4Fe8,12,0.051052517949675115,0.023285904344442113,0.002046384261118773,14,2.453469563772829,True,False
F0,730020,Co2Fe18,20,0.20869676651284708,0.12412896531141082,0.3817222389896125,383,2.269790781053219,True,False
F0,730021,Co7Fe11,18,0.07650196856398273,0.03885431618266431,0.0020527733485659187,45,2.42560093619305,True,False
F0,730022,Co2Fe4,6,0.050270781436839634,0.025025806413516635,0.0012911702427997975,4,2.4528969652056136,True,False
F0,730023,Gd9,9,0.008857125409533276,0.00554454031386042,0.0,4,3.6166812446377126,True,False
F0,730024,Co3Fe7,10,0.06220741113464697,0.03129626229451945,0.0009360653963928667,13,2.4631883891163104,True,False
F0,730025,Co4Fe8,12,0.029751615774234852,0.020879753047869622,0.0007462608574258277,12,2.4505399722346963,True,False
F0,730026,CoFe3,4,0.006008145524902006,0.0032453856087448782,0.0008664145723746441,10,2.4276131464133233,True,False
F0,730027,EuGd2,3,0.13983763091028717,0.09327437245540582,0.0030915072807028805,14,3.655826876879881,True,False
F0,730028,Gd4,4,0.00532372082564441,0.0038530975026731303,0.0,6,3.588641906533882,True,False
F0,730029,Co2Fe6,8,0.08026110562757655,0.03303334765951544,0.002548277517402561,9,2.4542583400364357,True,False
F0,730030,Co2Fe6,8,0.039885106015166864,0.01709594040062109,0.00114469942479088,13,2.442906254298514,True,False
F0,730031,Co3Fe11,14,0.05479081586000431,0.02919923030612839,0.0006470998081051388,19,2.4449168297160098,True,False
