branch_id,seed,schedule_id,schedule_kind,active_cfg,delta_g,start,duration,formula,num_atoms,geometric_valid,minimum_periodic_distance_angstrom,validity_reason,chgnet_success,chgnet_mag_density,target_mag_density,property_absolute_error,structure_valid,surrogate_property_eval,dft_verified,e_hull,stable,nus,novel,unique,quality_success,evaluation_valid,c0_property_absolute_error,property_delta_vs_c0,property_gain_vs_c0,property_harm_vs_c0,positive_property_degradation,e_hull_delta_vs_c0,e_hull_harm_vs_c0,stable_loss_vs_c0,validity_loss_vs_c0,nus_loss_vs_c0
1421819196:P_T400_DM10,1421819196,P_T400_DM10,permanent,1.9,-0.1,400,600,Cu4Eu4Mg2,10,True,2.5154311678747354,,True,0.1120623646384336,0.1,0.0120623646384336,True,True,False,0.010419247176757018,True,False,False,True,True,True,0.0120950302115078,-3.266557307420037e-05,3.266557307420037e-05,False,0.0,9.5367431640625e-06,False,False,False,False
1421819196:S_T400_DM10_K100,1421819196,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Cu4Eu5Mg,10,True,2.5340144929591863,,True,0.1269931426833885,0.1,0.0269931426833885,True,True,False,0.0438686408925788,True,True,True,True,True,True,0.0120950302115078,0.0148981124718807,-0.0148981124718807,True,0.0148981124718807,0.03345893045898585,True,False,False,False
1421819196:C0,1421819196,C0,c0,2.0,0.0,-1,1000,Cu4Eu4Mg2,10,True,2.5152477329950296,,True,0.1120950302115078,0.1,0.0120950302115078,True,True,False,0.010409710433592956,True,False,False,True,True,True,0.0120950302115078,0.0,-0.0,False,0.0,0.0,False,False,False,False
1578027042:C_G190,1578027042,C_G190,constant,1.9,-0.1,-1,1000,H8EuIrMn2,12,True,1.7083856442975374,,True,0.1305064306461417,0.1,0.0305064306461417,True,True,False,0.1879433678466782,False,False,True,True,True,True,0.0841529055078776,-0.053646474861735904,0.053646474861735904,False,0.0,0.07396851940592253,True,False,False,False
1578027042:P_T400_DM10,1578027042,P_T400_DM10,permanent,1.9,-0.1,400,600,H3Cl5Eu4,12,True,2.224673346926379,,True,0.105676854515866,0.1,0.005676854515866,True,True,False,0.07210200900065278,True,True,True,True,True,True,0.0841529055078776,-0.0784760509920116,0.0784760509920116,False,0.0,-0.041872839440102894,False,False,False,False
1578027042:S_T400_DM10_K100,1578027042,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,H8Eu2Mn2,12,True,1.8506678363602864,,True,0.1688705166741169,0.1,0.0688705166741169,True,True,False,0.24426288228515514,False,False,True,True,True,True,0.0841529055078776,-0.015282388833760707,0.015282388833760707,False,0.0,0.13028803384439946,True,False,False,False
1578027042:C0,1578027042,C0,c0,2.0,0.0,-1,1000,H6Eu6,12,True,2.3144138945705817,,True,0.1841529055078776,0.1,0.0841529055078776,True,True,False,0.11397484844075567,False,False,True,True,True,True,0.0841529055078776,0.0,-0.0,False,0.0,0.0,False,False,False,False
1569930267:C_G190,1569930267,C_G190,constant,1.9,-0.1,-1,1000,Eu3Ni6,9,True,2.3683266399366265,,True,0.1274904585491901,0.1,0.0274904585491901,True,True,False,0.043053244878459296,True,True,True,True,True,True,0.0697908768368258,-0.042300418287635706,0.042300418287635706,False,0.0,-0.04565225969402498,False,False,False,False
1569930267:P_T400_DM10,1569930267,P_T400_DM10,permanent,1.9,-0.1,400,600,Eu5N3Pd,9,True,2.235260001085304,,True,0.1569377592734546,0.1,0.0569377592734546,True,True,False,0.6521607111566823,False,False,True,True,True,True,0.0697908768368258,-0.012853117563371208,0.012853117563371208,False,0.0,0.563455206584198,True,True,False,True
1569930267:S_T400_DM10_K100,1569930267,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Eu6N2Pd,9,True,2.4259282898959387,,True,0.1739351800253803,0.1,0.0739351800253803,True,True,False,0.08774843941406374,True,True,True,True,True,True,0.0697908768368258,0.004144303188554493,-0.004144303188554493,True,0.004144303188554493,-0.0009570651584205336,False,False,False,False
1569930267:C0,1569930267,C0,c0,2.0,0.0,-1,1000,Eu6N2Pd,9,True,2.524722188370353,,True,0.1697908768368258,0.1,0.0697908768368258,True,True,False,0.08870550457248427,True,True,True,True,True,True,0.0697908768368258,0.0,-0.0,False,0.0,0.0,False,False,False,False
220700122:C_G190,220700122,C_G190,constant,1.9,-0.1,-1,1000,AlMn2Zn,4,True,2.646036144818836,,True,0.0936242670929131,0.1,0.0063757329070868,True,True,False,0.07573625798630879,True,False,False,True,True,True,0.0046257108167076,0.0017500220903792002,-0.0017500220903792002,True,0.0017500220903792002,0.023811216442340744,True,False,False,False
220700122:P_T400_DM10,220700122,P_T400_DM10,permanent,1.9,-0.1,400,600,CoFeMnZn,4,True,2.462332704453535,,True,0.148042513272376,0.1,0.048042513272376,True,True,False,0.11043754551631046,False,False,True,True,True,True,0.0046257108167076,0.043416802455668396,-0.043416802455668396,True,0.043416802455668396,0.05851250397234242,True,True,False,False
220700122:S_T400_DM10_K100,220700122,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Co2MnZn,4,True,2.472955940234863,,True,0.1046662660236641,0.1,0.0046662660236641,True,True,False,0.05192742572975906,True,False,False,True,True,True,0.0046257108167076,4.055520695649996e-05,-4.055520695649996e-05,False,4.055520695649996e-05,2.384185791015625e-06,False,False,False,False
220700122:C0,220700122,C0,c0,2.0,0.0,-1,1000,Co2MnZn,4,True,2.474304673012876,,True,0.1046257108167077,0.1,0.0046257108167076,True,True,False,0.05192504154396804,True,False,False,True,True,True,0.0046257108167076,0.0,-0.0,False,0.0,0.0,False,False,False,False
256115177:C_G190,256115177,C_G190,constant,1.9,-0.1,-1,1000,Cl4Eu4O4,12,True,2.3141860797021625,,True,0.1253953650508555,0.1,0.0253953650508555,True,True,False,-0.10554778587004421,True,False,False,True,True,True,0.0341726083453504,-0.008777243294494901,0.008777243294494901,False,0.0,-0.07381021075123151,False,False,False,True
256115177:P_T400_DM10,256115177,P_T400_DM10,permanent,1.9,-0.1,400,600,ClEu4F2O5,12,True,2.196055853839185,,True,0.1361818459802707,0.1,0.0361818459802707,True,True,False,0.1982796637181714,False,False,True,True,True,True,0.0341726083453504,0.002009237634920301,-0.002009237634920301,True,0.002009237634920301,0.2300172388369841,True,True,False,True
256115177:S_T400_DM10_K100,256115177,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,ClEu4F3O4,12,True,2.2845408757788266,,True,0.1439087836664327,0.1,0.0439087836664326,True,True,False,0.10799605139991897,False,False,True,True,True,True,0.0341726083453504,0.009736175321082202,-0.009736175321082202,True,0.009736175321082202,0.13973362651873167,True,True,False,True
256115177:C0,256115177,C0,c0,2.0,0.0,-1,1000,Cl2Eu5O5,12,True,2.220819848892529,,True,0.1341726083453504,0.1,0.0341726083453504,True,True,False,-0.0317375751188127,True,True,True,True,True,True,0.0341726083453504,0.0,-0.0,False,0.0,0.0,False,False,False,False
