trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
23,Q1_UQ_PQR,0.06771090163271351,0.006554334738758949,0.875,0.375,0.875,1.0,0.375,0.875,1.0,-0.12658645291432744,-0.8917525248137366,0.75,0.375,0.0,0.0,-0.25,0.0
23,Q2_RFR,0.06409231220171571,0.005475824046563112,0.75,0.125,0.875,1.0,0.125,0.75,1.0,-0.13020504234532523,-0.9095645628076481,0.625,0.125,0.0,0.0,-0.5,-0.125
23,Q4_CPRC,0.06771090163271351,0.006554334738758949,0.875,0.375,0.875,1.0,0.375,0.875,1.0,-0.12658645291432744,-0.8917525248137366,0.75,0.375,0.0,0.0,-0.25,0.0
23,Q6_NS_SETRANK_PROXY,0.07813204199892884,0.012088184412299037,0.875,0.5,0.875,1.0,0.5,0.875,1.0,-0.1161653125481121,-0.8003587710466735,0.75,0.5,0.0,0.0,-0.125,0.0
24,baseline_first,0.12663273173385176,0.06313178484901082,0.375,0.125,0.75,1.0,0.375,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Q1_UQ_PQR,0.0562658796071119,0.011589667754894825,1.0,0.375,0.875,1.0,0.375,1.0,1.0,-0.07036685212673985,-0.8164210344660259,0.625,0.25,0.125,0.0,0.0,0.125
24,Q2_RFR,0.05338680580190722,0.0037548834586570625,0.875,0.25,0.875,1.0,0.25,0.75,1.0,-0.07324592593194454,-0.940523090426836,0.5,0.125,0.125,0.0,-0.125,-0.125
24,Q4_CPRC,0.060944619381386476,0.012186521024718849,1.0,0.25,0.75,1.0,0.25,1.0,1.0,-0.06568811235246527,-0.8069669493130164,0.625,0.125,0.0,0.0,-0.125,0.125
24,Q6_NS_SETRANK_PROXY,0.06816747246705386,0.012081770468520762,0.875,0.5,0.875,1.0,0.5,0.875,1.0,-0.058465259266797895,-0.8086261857253658,0.5,0.375,0.125,0.0,0.125,0.0
25,baseline_first,0.12576902174675902,0.0297795045740189,0.5,0.25,0.75,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Q1_UQ_PQR,0.09362799477807413,0.009865466483068089,0.75,0.25,0.875,1.0,0.375,1.0,1.0,-0.0321410269686849,-0.6687162320465463,0.25,0.0,0.125,0.0,-0.25,0.0
