seed,method,c0_max_force,e3a_max_force,e3g_max_force,e3a_force_change,e3g_force_change,c0_rmsd,e3a_rmsd,e3g_rmsd,c0_ehull,e3a_ehull,e3g_ehull,c0_stable,e3a_stable,e3g_stable,c0_nus,e3a_nus,e3g_nus,c0_novel,e3a_novel,e3g_novel,c0_unique,e3a_unique,e3g_unique,gate_confidence,gate_on,exact_fallback,displacement_mean,displacement_max,refinement_harm,relaxation_converged
40077,C0/E3-A/E3-G paired,0.3660135701453461,0.3246097390874066,0.3246066214988243,-0.0414038310579394,-0.0414069486465217,0.0306446445745497,0.0262580868950846,0.0262582696616999,0.1601529353819408,0.1601734649927113,0.1601734649927113,False,False,False,False,False,False,True,True,True,True,True,True,0.5768930635689404,True,False,,0.0086242000364626,False,True
40078,C0/E3-A/E3-G paired,0.1127977407287156,0.0756287776355267,0.0756296426548309,-0.0371689630931889,-0.0371680980738847,0.0089697947544021,0.0028066832814787,0.0028067019204446,0.1246911344210133,0.1247404457409988,0.1247397412935713,False,False,False,False,False,False,True,True,True,True,True,True,0.9926546712806116,True,False,,0.0082541652339954,False,True
40079,C0/E3-A/E3-G paired,0.0349833021286574,0.0941030415221112,0.0941003334813808,0.0591197393934538,0.0591170313527234,0.0020958282985493,0.00282645414459,0.0028265340035611,0.0738742116936439,0.073892175103067,0.073892175103067,True,True,True,True,True,True,True,True,True,True,True,True,0.9211150779525276,True,False,,0.0062573357373086,True,True
40080,C0/E3-A/E3-G paired,0.3818188384298344,0.2741284871192116,0.2741262941120106,-0.1076903513106227,-0.1076925443178237,0.0112262162743808,0.0092616574453095,0.0092614273140419,0.0996634770136903,0.0996476269465524,0.099646570275409,True,True,True,True,True,True,True,True,True,True,True,True,0.6744604626096432,True,False,,0.0056435807597482,False,True
40081,C0/E3-A/E3-G paired,0.4228906499596777,0.4073996591987341,0.4074050111979514,-0.0154909907609435,-0.0154856387617262,0.0536131185091491,0.0489683687017492,0.0489683589880727,0.3654230195902137,0.3654580406909398,0.365458644503021,False,False,False,False,False,False,True,True,True,True,True,True,0.6056915171321161,True,False,,0.0122297800429313,False,True
40082,C0/E3-A/E3-G paired,0.3228161564168058,0.3019192289842064,0.301926935561861,-0.0208969274325993,-0.0208892208549447,0.0245339861800191,0.0223700111255883,0.0223694871822217,0.2061451006079071,0.2061415783707643,0.2061401694759075,False,False,False,False,False,False,True,True,True,True,True,True,0.7651372213707809,True,False,,0.0179413994086887,False,True
40083,C0/E3-A/E3-G paired,0.0611760361809366,0.0539113911840276,0.0539116885032063,-0.007264644996909,-0.0072643476777303,0.0064966545181829,0.0038476752815492,0.0038476734144662,0.1155141322184913,0.1155490023661958,0.1155490023661958,False,False,False,False,False,False,False,False,False,True,True,True,0.9911691499476782,True,False,,0.0029547743059162,False,True
40084,C0/E3-A/E3-G paired,0.1158070189085476,0.0936898976099322,0.0936898638349827,-0.0221171212986154,-0.0221171550735648,0.0160907676144096,0.0116946805157986,0.011694673963958,0.093811126324363,0.09379492403351,0.09379492403351,True,True,True,False,False,False,False,False,False,True,True,True,0.7117452213975326,True,False,,0.0093886581166053,False,True
40085,C0/E3-A/E3-G paired,0.2886599171782915,0.2885939302673612,0.2885911667892692,-6.598691093029352e-05,-6.875038902226516e-05,0.1453950433694402,0.1377826559385309,0.1377827389587409,0.1983618706975178,0.1985457314763268,0.1985457314763268,False,False,False,False,False,False,True,True,True,True,True,True,0.9171233948743908,True,False,,0.0167669920465777,False,True
40086,C0/E3-A/E3-G paired,0.8714933810449518,0.5033577860608645,0.5033580172537699,-0.3681355949840873,-0.3681353637911818,0.0486370002468481,0.4749457884080003,0.4748392169405796,0.3098141802552696,0.2235424761537068,0.2235514930807909,False,False,False,False,False,False,True,True,True,True,True,True,0.5014700082657262,True,False,,0.0182005298705739,False,True
