task_id,config_id,seed,repeat_index,gpu,elapsed_seconds,basic_structure_valid,composition_valid,rng_state_hash,initial_atomic_numbers_hash,initial_pos_hash,initial_cell_hash,initial_state_hash,final_structure_hash,extxyz_sha256,physical_model_forward_count,predictor_forward_count,corrector_forward_count,corrector_skipped_count,corrector_skip_rate,physical_forward_reduction,corrector_calibration_count,corrector_fallback_count,corrector_rescue_count,corrector_atomic_veto_count,corrector_skip_budget,corrector_budget_used,budget_exhausted,calibration_interval_mean,cell_stable_rate,pos_stable_rate,atomic_stable_rate,all_fields_stable_rate
eight_seed_smoke_G2_seed14004_rep1,G2,14004,1,4,57.2091846250114,True,False,c6ab3e58a7988609fbb902a8e4a1352eddf9206bc63b347b38eebf343818c4ad,8ba2d47dfbceefc5fca1108e069ae02e1d2b0c48e961933c36c82de166d7efc6,b3776ea93aff9ae024192b00cfbde4be52109a083051485298880289a15cac24,1b1193ac0d64974afdf4408b08baf642e5d35757dbeb17a85bca0d6eda561201,d4655b6ad684dc27e571fe672fe1ec72cee5f2f9f1140cdbca66bd4fcf7b63c3,b8c4c4766583b708c17af53f7e29ed621fcf00b067d00fd249949ec93747ad78,58840fe40cec2f54e38dbec25010a904dfda4bdc2d05c206ff3e355876ad02e5,1580,1000,580,420,0.42,0.20999999999999996,51,8,0,40,420,420,True,9.823529411764707,0.953,0.97,0.999,0.931
eight_seed_smoke_G2_seed14005_rep1,G2,14005,1,5,59.422615571995266,True,True,53c990771bbee9c54e89a6a2db344d4598e8fd93e6e1410fe9420c67d22237b5,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,c436294a03d66cdb4ac0ca6e8b78eada3b508748a02243f2d46078ceb99943ff,731abfb87b701632f3917a8ce876d1e4df7f265bf8cca0fe9537fd9e4a672e90,546cd564abd587ef7d39ec42d495214b30006ef9203f13377121f2565757cfe4,854774a9dcbed0c5d6286b2bc448ff8a63c5974fec510e1133dfa37cf7953baf,89c73d5bf60a1fe47849e207ed1e42c8ace46ac39bc5ff4eee085cb31cbe441a,1596,1000,596,404,0.404,0.20199999999999996,45,20,0,70,420,404,False,9.4,0.91,0.914,0.999,0.852
eight_seed_smoke_G2_seed14006_rep1,G2,14006,1,6,61.839344705978874,True,True,35169bf3bc226398d71054ce18b943468ecdb32fc883c38c51f57617cdd2dd2c,be5a7f6dd478753b2a6278d5088493dbf753bcec38573252b4deaf4701c8fc39,301dbcac4ffaadb45c9996be054b0215c30bcdafcd5896f8acfa4f47d32f464e,fe898660b8d891e78bcbc35bb4030a7658aec6a69c5f84dfdc1ed585f62e64fe,fdaf0dffb85c90744f3e943bb487022cadecfa4c61c8a00245fcf5a80e5d5998,33df6c60d85754e4e57e6078e637582e62e8d79845b75b5f906fce7ec398fea0,bc8ac07b7ba2e8374e112e68f55ffa18260d9a150d45b3d20e5a7363cc72805f,1630,1000,630,370,0.37,0.18500000000000005,43,35,0,98,420,370,False,8.023255813953488,0.884,0.915,0.998,0.847
eight_seed_smoke_G2_seed14007_rep1,G2,14007,1,7,58.10987704800209,True,False,9071a25b798e27c8cbcb4c5ba886dc2dc3e932ff6da779d423cf68e6ac42ee3f,9b7553cb6795635870fd4f2ed15dc2bea66777572b8c01d0796f038a562df413,e471be3ccf401b262c277d25f287fd81ccad2054b9f0e11a59c37810f1bbff3b,3b908d77f82072948907a1bf4b0209cee8455152afc21a9b9d873f795a9b00a3,2ff77d205f0e44c66cfdbdc4317dc695ef930b20d0fb71a6c3b7d17b6ef3b381,92665aea9194efbf143b0fb91e3dd75745fad24f74c4223ee0bed1ccc0d96bd6,4a363f1ce5f642c07ccc7dea62918384d61a7aa6d34b15acdbeb276cc57b08fa,1580,1000,580,420,0.42,0.20999999999999996,51,6,0,44,420,420,True,10.0,0.928,0.963,0.999,0.905
eight_seed_smoke_G3_seed14000_rep1,G3,14000,1,0,53.17296850302955,True,False,cea11bf8abdde40fdb61d5b8a53d6579350f2f1aa73301fb246e833fbf6560a2,00fd9cb7d9a57eff57e9aa81525286d4585e3b355310c90678a446d552829406,110e02b754567a4b1c59e752a3998a27be43c2c39a61dc201752afc7cf58e1f7,74b8fbf4ea050bf94f23c5fb5c18fcbf719017fc5748534ed9817ca1e26e4c57,bb3d31a430cd324ba6b89648ea82a660004398ce810248650c4c11bee6580e0c,8fcb12629ba441c5f1789349de903e09ca8b756dde9ad0a2d55d6c7ab9be4016,226b96023b8d6dc01dd883115d14e018a46f2c1c63216cc406ab2d4b29b86e86,1302,1000,302,698,0.698,0.349,52,7,0,0,,698,False,,0.974,0.995,0.999,0.971
eight_seed_smoke_G3_seed14001_rep1,G3,14001,1,1,47.74339388398221,True,True,b69d8f688ca28651a11d5aa02a0f4f185cbaacd690b9fc4fe9c97c6f56daba1f,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,2a95ae971137db2dd1efab0b33c5679b121296081ee4b0c0c4e4a2a3fdccbf05,203306fd116613d14a692ab90833ee2b479db8a09ad30c74b41e6b1016139bcd,9f005f0990d9c42d915e53aab7bee53f49dd4ec99a71d0f5539dec40bc4d2058,028f9f5fcd7e14c7c73b6c26bed55d89388e65bc29a6aff50875ecc2a399a477,cf0129e27d5bf2a4bedfc03538f7f8cc53d58e56521dcf20fb3fea1e598a6455,1287,1000,287,713,0.713,0.35650000000000004,55,8,0,0,,713,False,,0.979,0.994,0.999,0.976
eight_seed_smoke_G3_seed14002_rep1,G3,14002,1,2,51.84135075303493,True,True,014357f4d5dfc5bf2e4f09d0bdb882dcd08a1fbe410637d1e32383adec209208,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,fb8968fa67ed9b4a5248f5f263ec0915d8d28d1c9e688ab71d1425b8e4f2b060,a4929aee26e81576dd812e5cba0a7f01ae80bbb03e10ba86f3e67f0370031100,fe506af84c7ef875b0b6da503995166e535f927c89b9de35bb11112cf8ce0d00,e2e0bd0d446d9f038948adb2850a351330cddc8145263391fff1518e4f830acb,b269efa2966f8a02d1e56dfbd310f5bf39c2228366d60dcf8096b00dc450f6c5,1288,1000,288,712,0.712,0.356,56,6,0,0,,712,False,,0.978,0.987,0.999,0.971
eight_seed_smoke_G3_seed14003_rep1,G3,14003,1,3,47.67314773699036,True,True,62f7acbf025c95ea0b46b2c4c8ce6b2756123fc144cb45619eeb5c8c6e71c523,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,499746405671768129f4970a9ebf6a488b02b4f6fad9395d1e4a7baf7a5a3aa4,de98249f5d0c046d248bce11d141ff6a89dce514ed03200aa1a844474e361a7f,87aac982e7419e326fcc806ae59b9dadb031dd94d6358e1f8e824ccf7f59c8e1,0f3873a697c6b0c87ed8c173d6beb483039be10a064de9ca1d73711148667037,91f15978afaf72cbd504098704ff7a69519d0c5636c2cdb3540d0366507c2cf2,1292,1000,292,708,0.708,0.354,50,10,0,0,,708,False,,0.977,0.993,0.999,0.972
eight_seed_smoke_G3_seed14004_rep1,G3,14004,1,4,49.41385581495706,True,False,c6ab3e58a7988609fbb902a8e4a1352eddf9206bc63b347b38eebf343818c4ad,8ba2d47dfbceefc5fca1108e069ae02e1d2b0c48e961933c36c82de166d7efc6,b3776ea93aff9ae024192b00cfbde4be52109a083051485298880289a15cac24,1b1193ac0d64974afdf4408b08baf642e5d35757dbeb17a85bca0d6eda561201,d4655b6ad684dc27e571fe672fe1ec72cee5f2f9f1140cdbca66bd4fcf7b63c3,d155804164cdfeab73d56d8ade9b1e9e6818cf565f998fab2a8ff0b3d35c21bd,e7249b557ddab7e8c1c068362903fc7c2b6fed7c18f39a2d07c125f5521aa6e4,1317,1000,317,683,0.683,0.3415,49,21,0,0,,683,False,,0.964,0.975,0.999,0.953
eight_seed_smoke_G3_seed14005_rep1,G3,14005,1,5,50.85380486497888,True,True,53c990771bbee9c54e89a6a2db344d4598e8fd93e6e1410fe9420c67d22237b5,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,c436294a03d66cdb4ac0ca6e8b78eada3b508748a02243f2d46078ceb99943ff,731abfb87b701632f3917a8ce876d1e4df7f265bf8cca0fe9537fd9e4a672e90,546cd564abd587ef7d39ec42d495214b30006ef9203f13377121f2565757cfe4,24cf53db411211d4a3d1716f7e36aec0b590e1973b452999d12a902bb4eb04f5,a90b984d94bf205a2e4263316bd8a8bab451500276afd57e912ab8790b44c622,1293,1000,293,707,0.707,0.35350000000000004,55,13,0,0,,707,False,,0.979,0.974,0.999,0.959
eight_seed_smoke_G3_seed14006_rep1,G3,14006,1,6,50.68925431399839,True,True,35169bf3bc226398d71054ce18b943468ecdb32fc883c38c51f57617cdd2dd2c,be5a7f6dd478753b2a6278d5088493dbf753bcec38573252b4deaf4701c8fc39,301dbcac4ffaadb45c9996be054b0215c30bcdafcd5896f8acfa4f47d32f464e,fe898660b8d891e78bcbc35bb4030a7658aec6a69c5f84dfdc1ed585f62e64fe,fdaf0dffb85c90744f3e943bb487022cadecfa4c61c8a00245fcf5a80e5d5998,5b2cb1c64fea9cda85747f482174dc45d28106ca2528e5b964a25ff92b37cf7f,5839f1cf2fe2d9a0d1540049a1b0bfdcf3b614852902fb9981d8975a18df86af,1291,1000,291,709,0.709,0.35450000000000004,56,8,0,0,,709,False,,0.979,0.987,0.999,0.97
eight_seed_smoke_G3_seed14007_rep1,G3,14007,1,7,48.65379170997767,True,True,9071a25b798e27c8cbcb4c5ba886dc2dc3e932ff6da779d423cf68e6ac42ee3f,9b7553cb6795635870fd4f2ed15dc2bea66777572b8c01d0796f038a562df413,e471be3ccf401b262c277d25f287fd81ccad2054b9f0e11a59c37810f1bbff3b,3b908d77f82072948907a1bf4b0209cee8455152afc21a9b9d873f795a9b00a3,2ff77d205f0e44c66cfdbdc4317dc695ef930b20d0fb71a6c3b7d17b6ef3b381,aeb9ff8b1f852c189710d3a907a302bd956a205a70353ad9ee569ff535b40841,9d429b1e740117b2e1a380f6d55d2864b66a195c83cab1298cb599f9a8e35af7,1287,1000,287,713,0.713,0.35650000000000004,51,10,0,0,,713,False,,0.967,0.984,0.999,0.959
