config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
U0,17028,U0_seed_17028,-17.256643295288086,-5.752214431762695,0.022935569286346436,True,0.31460673396941274,11,TiTeSe,Se-Te-Ti,0.02876638497360151,0.004050552435984103,False,True,True,True,True,False,False,True,True,False,True,0.02876638497360151,0.02876638497360151
U0,17029,U0_seed_17029,-35.236637115478516,-7.0473274230957035,0.04788122698664665,True,0.7622736399644054,26,CeSi3Ir,Ce-Ir-Si,0.0031984468739612026,0.007300420163931339,False,True,False,False,True,False,False,True,True,False,True,0.0031984468739612026,0.0
U0,17030,U0_seed_17030,-151.96835327148438,-7.598417663574219,0.0469551645219326,True,11.025677624973468,371,Na3Ti4V2O11,Na-O-Ti-V,0.23804271162576995,0.23181824121715755,False,False,False,False,True,True,True,True,True,True,True,0.23804271162576995,0.23804271162576995
U0,17031,U0_seed_17031,-22.941450119018555,-7.647150039672852,0.0014393687015399337,True,1.098233983037062,39,TmO2,O-Tm,0.2735303370041482,0.010379457586131255,False,False,True,True,True,True,True,True,True,True,True,0.2735303370041482,0.0
U0,17032,U0_seed_17032,-33.42934036254883,-3.0390309420498935,0.052746132016181946,True,11.072679085016716,384,CaAg3Cl7,Ag-Ca-Cl,0.05988701578690403,1.5199110161426597,True,True,False,False,True,True,True,True,True,True,True,0.05988701578690403,0.05988701578690403
U0,17033,U0_seed_17033,-35.36458206176758,-4.420572757720947,0.04715101793408394,True,3.798348176002037,135,Cs3TeO4,Cs-O-Te,0.25818566436394086,0.5078361988242684,False,False,True,True,True,True,True,True,True,True,True,0.25818566436394086,0.0
U0,17034,U0_seed_17034,-28.165103912353516,-4.694183985392253,0.036839038133621216,True,2.069027494988404,58,CoNiSe4,Co-Ni-Se,0.12147331694316232,0.11593976898159958,False,False,True,True,True,True,True,True,True,True,True,0.12147331694316232,0.12147331694316232
U0,17035,U0_seed_17035,-43.88784408569336,-4.876427120632595,0.050726357847452164,True,2.0647088559926488,76,Ba2Sb2Pd5,Ba-Pd-Sb,0.034432411355751036,0.10634907119603641,True,True,True,True,True,True,True,True,True,True,True,0.034432411355751036,0.0
U0,17036,U0_seed_17036,-53.466190338134766,-4.860562758012251,0.04683039337396622,True,4.379040794039611,152,TlCu3HO6,Cu-H-O-Tl,0.15399753117697212,1.2271947078036964,False,False,True,True,True,True,True,True,True,True,False,0.15399753117697212,0.15399753117697212
U0,17037,U0_seed_17037,-79.83369445800781,-3.9916847229003904,0.04605480283498764,True,12.510093642049469,443,Cs4CoCu5(I2O3)2,Co-Cs-Cu-I-O,1.3056653138173706,0.496425586629241,False,False,True,True,True,True,True,True,True,True,False,1.3056653138173706,1.3056653138173706
