method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
C0,46,46,32046,-29.756851196289062,-7.439212799072266,0.002259891713038087,0.005402705457235939,True,0.29172421200200915,10,Fe2CoNi,Co-Fe-Ni,0.10299401637793082,0.00030742765235719516,False,False,True,True,True,False,False,False,False,False,True,0.10299401637793082,0.10299401637793082
C0,47,47,32047,-75.0860824584961,-8.34289805094401,0.04442808777093887,0.0786936263805428,True,0.7427211039466783,27,Eu7Mg2,Eu-Mg,0.06311572623181405,0.02870334500275216,True,True,True,True,True,True,True,True,True,True,True,0.06311572623181405,0.025944236300702528
C0,48,48,32048,-67.23577880859375,-6.1123435280539775,0.046145301312208176,0.460543281388643,True,1.443530464079231,48,Fe4H2O5,Fe-H-O,0.2641331474234656,0.050121797567057695,False,False,True,True,True,True,True,True,True,True,True,0.2641331474234656,0.2641331474234656
C0,49,49,32049,-27.164461135864258,-6.7911152839660645,0.04801020398736,0.05419995445281431,True,0.11604573403019458,4,FeCuRh2,Cu-Fe-Rh,0.06584402299560033,0.0025612406774092296,False,True,True,True,True,False,False,True,True,False,True,0.06584402299560033,0.06584402299560033
C0,50,50,32050,-145.42662048339844,-7.271331024169922,0.05133499205112457,0.5203934984912149,True,6.308246401953511,219,CaMn7CuO11,Ca-Cu-Mn-O,0.200859575278729,0.09953801554670996,False,False,True,True,True,True,True,True,True,True,True,0.200859575278729,0.200859575278729
C0,51,51,32051,-29.528480529785156,-7.382120132446289,0.008140667341649532,0.018076246303572435,True,0.48095182701945305,17,PrEu2Dy,Dy-Eu-Pr,0.1270004226195116,0.0013751436183727288,False,False,True,True,True,False,False,True,True,False,True,0.1270004226195116,0.1270004226195116
C0,52,52,32052,-131.25685119628906,-8.750456746419271,0.05112229660153389,0.21489218502425542,True,2.553508037002757,92,Eu4Fe3O8,Eu-Fe-O,0.11447217577412161,0.07208185494594069,False,False,False,False,True,True,True,True,True,True,True,0.11447217577412161,0.11447217577412161
C0,53,53,32053,-88.19707489013672,-11.02463436126709,0.03534615412354469,1.3176982189638213,True,1.6789621240459383,57,Gd3Mn(CN)2,C-Gd-Mn-N,0.7937462901704482,0.14844438061226603,False,False,True,True,True,True,True,True,True,True,False,0.7937462901704482,0.7937462901704482
C0,54,54,32054,-86.56849670410156,-7.214041392008464,0.047218963503837585,0.1805536576795438,True,1.4119203960290179,49,Eu7MgTl4,Eu-Mg-Tl,0.03578594886378905,0.06830921424108197,True,True,True,True,True,True,True,True,True,True,True,0.03578594886378905,0.03578594886378905
C0,55,55,32055,-65.67562103271484,-8.209452629089355,0.026217371225357056,0.033077804651238066,True,0.40695719595532864,14,Fe3Rh,Fe-Rh,0.02661915808899451,0.003206491877400623,False,True,True,True,True,False,False,True,True,False,True,0.02661915808899451,0.0
C0,56,56,32056,-71.73658752441406,-6.521507956764915,0.040037836879491806,0.5868507936956786,True,1.7767537299077958,63,EuMn2F8,Eu-F-Mn,0.13236802465719855,0.06122824947167778,False,False,True,True,True,True,True,True,True,True,True,0.13236802465719855,0.13236802465719855
C0,57,57,32057,-59.886993408203125,-6.654110378689236,0.03411935642361641,0.7664885757845807,True,1.486225403030403,50,K2Eu3Sb3O,Eu-K-O-Sb,0.1927059067836252,0.09059891779458092,False,False,True,True,True,True,True,True,True,True,False,0.1927059067836252,0.1927059067836252
C0,58,58,32058,-69.74104309082031,-7.749004787868923,0.04887038469314575,0.26792071589772837,True,0.5685387520352378,18,Fe6Si2Pt,Fe-Pt-Si,0.12469877335589885,0.0378763559109152,False,False,False,False,True,True,True,True,True,True,True,0.12469877335589885,0.12469877335589885
C0,59,59,32059,-173.45835876464844,-8.672917938232422,0.04477551579475403,0.6829219744290044,True,3.290444531943649,102,Eu4MnFe2WO12,Eu-Fe-Mn-O-W,0.09521422657415712,0.05573248386556282,True,True,True,True,True,True,True,True,True,True,False,0.09521422657415712,0.09521422657415712
C0,60,60,32060,-93.41643524169922,-8.492403203790838,0.039312683045864105,0.6630506259154652,True,0.9380296029848978,34,SrEu3O7,Eu-O-Sr,0.10488646327611306,0.03910545387363468,False,False,True,True,True,True,True,True,True,True,True,0.10488646327611306,0.10488646327611306
C0,61,61,32061,-34.931976318359375,-8.732994079589844,0.025773199275135994,0.02461220476114991,True,0.22670193202793598,8,Eu3Tm,Eu-Tm,0.1225050684977873,0.0022125685484423053,False,False,True,True,True,False,False,True,True,False,True,0.1225050684977873,0.1225050684977873
C0,62,62,32062,-153.2261962890625,-8.064536646792764,0.04633321240544319,0.07726645740800007,True,0.6971887380350381,22,Dy2Fe17,Dy-Fe,0.031041668572566294,0.003510517098508736,False,True,True,True,True,False,False,True,True,False,True,0.031041668572566294,0.0
C0,63,63,32063,-58.3463249206543,-7.293290615081787,0.02715417742729187,0.19195164524429115,True,1.113437163992785,42,Mn3Ni3Pt2,Mn-Ni-Pt,0.0650488794093782,0.01749837126352619,True,True,True,True,True,True,True,True,True,True,True,0.0650488794093782,0.0650488794093782
