trial,baseline_energy_above_hull_per_atom,baseline_rmsd_from_relaxation,baseline_stable,baseline_novel_unique_stable,baseline_comp_validity,baseline_structure_validity,baseline_novel,baseline_unique,baseline_converged,selected_energy_above_hull_per_atom,selected_rmsd_from_relaxation,selected_stable,selected_novel_unique_stable,selected_comp_validity,selected_structure_validity,selected_novel,selected_unique,selected_converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
41,0.14147366612026055,0.06102328438092186,0.375,0.125,0.75,1.0,0.5,0.875,1.0,0.09712110147615591,0.013988059481244488,0.75,0.625,0.875,1.0,0.75,0.75,1.0,-0.04435256464410464,-0.7707750472110335,0.375,0.5,0.125,0.0,0.25,-0.125
42,0.11373630900183157,0.022871624344892275,0.75,0.5,0.875,1.0,0.75,0.875,1.0,0.11438484955875233,0.05173691628991443,0.625,0.5,0.875,1.0,0.75,0.875,1.0,0.0006485405569207625,1.2620569273851507,-0.125,0.0,0.0,0.0,0.0,0.0
43,0.1457359297265255,0.054579300191751806,0.375,0.0,1.0,1.0,0.375,0.75,1.0,0.09708715198309253,0.048037970850508885,0.75,0.625,1.0,1.0,0.75,1.0,1.0,-0.04864877774343296,-0.119850003907369,0.375,0.625,0.0,0.0,0.375,0.25
44,0.11008990121417601,0.07018581351767769,0.625,0.125,0.75,1.0,0.375,0.875,1.0,0.12322340815442573,0.05166879404109218,0.5,0.5,1.0,1.0,0.75,0.875,1.0,0.013133506940249715,-0.26382852243953303,-0.125,0.375,0.25,0.0,0.375,0.0
45,0.17643456809445507,0.03884341960231631,0.5,0.25,1.0,1.0,0.75,0.75,1.0,0.13043734877486543,0.01734990219564686,0.625,0.5,1.0,1.0,0.75,1.0,1.0,-0.04599721931958964,-0.5533374153646284,0.125,0.25,0.0,0.0,0.0,0.25
46,0.1495820698788248,0.0736351561647086,0.25,0.125,1.0,1.0,0.5,0.875,1.0,0.11783945493681652,0.01872883788436329,0.625,0.375,0.875,1.0,0.625,0.75,1.0,-0.03174261494200828,-0.7456535864136657,0.375,0.25,-0.125,0.0,0.125,-0.125
47,0.15485492803322584,0.08733571318606491,0.125,0.0,0.875,1.0,0.5,0.75,1.0,0.12729519993051625,0.024205609799575672,0.625,0.5,0.875,1.0,0.75,0.75,1.0,-0.027559728102709596,-0.7228440815728305,0.5,0.5,0.0,0.0,0.25,0.0
48,0.19143251745480025,0.03780348248809109,0.25,0.125,1.0,1.0,0.625,0.75,1.0,0.133346058910278,0.04695544369676785,0.5,0.5,1.0,1.0,0.875,0.875,1.0,-0.05808645854452224,0.24209307202212993,0.25,0.375,0.0,0.0,0.25,0.125
49,0.15413129362861394,0.10939239269091401,0.25,0.125,0.75,1.0,0.75,0.75,1.0,0.08152744076520532,0.013641773629016349,0.875,0.625,0.875,1.0,0.625,1.0,1.0,-0.07260385286340862,-0.8752950429783458,0.625,0.5,0.125,0.0,-0.125,0.25
50,0.1423141553644289,0.06708755712090883,0.25,0.125,0.75,1.0,0.375,0.75,1.0,0.11704828967821995,0.05820396913629033,0.625,0.375,0.875,1.0,0.625,0.875,1.0,-0.02526586568620895,-0.1324178188305175,0.375,0.25,0.125,0.0,0.25,0.125
51,0.17107840677788053,0.10267767372519176,0.125,0.125,0.875,1.0,0.625,0.75,1.0,0.12081408858067218,0.0451122001116067,0.5,0.5,1.0,1.0,0.75,0.875,1.0,-0.05026431819720835,-0.5606425576766986,0.375,0.375,0.125,0.0,0.125,0.125
52,0.18058736445359766,0.042254207903696786,0.375,0.0,0.75,1.0,0.375,0.75,1.0,0.12204452489155646,0.019194523061355113,0.5,0.5,1.0,1.0,0.625,0.75,1.0,-0.058542839562041205,-0.5457370043451744,0.125,0.5,0.25,0.0,0.25,0.0
53,0.14079118965102472,0.06982900720052931,0.5,0.125,0.875,1.0,0.625,1.0,1.0,0.11268081269404315,0.04838425670273703,0.625,0.625,1.0,1.0,0.875,0.75,1.0,-0.02811037695698157,-0.3071037575575001,0.125,0.5,0.125,0.0,0.25,-0.25
54,0.17592562319535981,0.09322047758691784,0.0,0.0,0.625,1.0,0.625,0.5,1.0,0.09765374874311677,0.04853374699401748,0.75,0.5,0.875,1.0,0.625,1.0,1.0,-0.07827187445224304,-0.47936603361889984,0.75,0.5,0.25,0.0,0.0,0.5
55,0.14350679301280828,0.03594130462165075,0.5,0.25,0.875,1.0,0.5,0.875,1.0,0.11518426265111445,0.05240019258659015,0.75,0.5,0.875,1.0,0.75,1.0,1.0,-0.028322530361693826,0.4579379668656962,0.25,0.25,0.0,0.0,0.25,0.125
56,0.22877828363867844,0.07396621067322788,0.125,0.0,0.75,1.0,0.875,0.875,1.0,0.10366136178306437,0.011626649264332874,0.75,0.375,0.875,1.0,0.5,0.875,1.0,-0.12511692185561407,-0.8428113437404852,0.625,0.375,0.125,0.0,-0.375,0.0
57,0.17508594313860093,0.05952270505285999,0.375,0.125,0.875,1.0,0.625,0.75,1.0,0.07332933690743067,0.013015311859740612,0.875,0.625,1.0,1.0,0.625,1.0,1.0,-0.10175660623117026,-0.781338703471521,0.5,0.5,0.125,0.0,0.0,0.25
58,0.10265690633691099,0.06152805787497036,0.625,0.25,0.75,1.0,0.625,1.0,1.0,0.12183023892783368,0.023692798335319773,0.75,0.5,1.0,1.0,0.75,1.0,1.0,0.019173332590922687,-0.6149269267776123,0.125,0.25,0.25,0.0,0.125,0.0
59,0.17957890234128798,0.08930890236026134,0.375,0.125,0.75,1.0,0.75,0.875,1.0,0.11441184628959364,0.05261666305288266,0.75,0.625,1.0,1.0,0.875,1.0,1.0,-0.06516705605169434,-0.41084638079378266,0.375,0.5,0.25,0.0,0.125,0.125
60,0.13504369848825354,0.028822519213273362,0.5,0.125,0.75,1.0,0.5,1.0,1.0,0.07607380449256679,0.013792908041884011,0.875,0.5,0.75,1.0,0.5,1.0,1.0,-0.05896989399568675,-0.521453765376203,0.375,0.375,0.0,0.0,0.0,0.0
61,0.13798809337425863,0.032688768625484296,0.375,0.125,0.875,1.0,0.375,0.75,1.0,0.09306794800254188,0.017813533228192673,0.875,0.625,1.0,1.0,0.75,1.0,1.0,-0.04492014537171675,-0.45505646198293415,0.5,0.5,0.125,0.0,0.375,0.25
62,0.1414417658381995,0.06792191956255086,0.625,0.375,1.0,1.0,0.75,1.0,1.0,0.11819650262351263,0.0527429756422843,0.75,0.5,1.0,1.0,0.75,1.0,1.0,-0.02324526321468688,-0.2234763684245985,0.125,0.125,0.0,0.0,0.0,0.0
63,0.14172898539664253,0.06535454563070865,0.5,0.25,0.75,1.0,0.75,0.875,1.0,0.11682576307820375,0.05283619221896095,0.75,0.625,1.0,1.0,0.875,1.0,1.0,-0.024903222318438778,-0.19154525964396885,0.25,0.375,0.25,0.0,0.125,0.125
64,0.09996552345000338,0.0859113187640434,0.5,0.125,0.875,1.0,0.375,0.75,1.0,0.09101217025871775,0.01917239056342529,0.75,0.5,0.875,1.0,0.5,0.875,1.0,-0.008953353191285637,-0.7768351034619487,0.25,0.375,0.0,0.0,0.125,0.125
65,0.13918710369125095,0.03460570544504161,0.625,0.375,0.875,1.0,0.625,0.875,1.0,0.11151755636758404,0.05239622766039642,0.75,0.5,0.75,1.0,0.75,1.0,1.0,-0.027669547323666915,0.5140921702523444,0.125,0.125,-0.125,0.0,0.125,0.125
66,0.1694458157281261,0.027884855349904578,0.375,0.25,1.0,1.0,0.75,0.875,1.0,0.12337828302002657,0.0249698621611429,0.625,0.5,1.0,1.0,0.625,1.0,1.0,-0.04606753270809952,-0.10453678716219883,0.25,0.25,0.0,0.0,-0.125,0.125
67,0.14212316652340318,0.019230251294232125,0.5,0.0,0.875,1.0,0.25,0.875,1.0,0.07701323664725251,0.022028716050185873,0.875,0.625,0.75,1.0,0.75,1.0,1.0,-0.06510992987615066,0.14552408666615357,0.375,0.625,-0.125,0.0,0.5,0.125
68,0.13662530301549075,0.069056934534941,0.375,0.125,0.75,1.0,0.625,0.875,1.0,0.11585758386503806,0.04698340901136453,0.625,0.375,1.0,1.0,0.625,0.875,1.0,-0.020767719150452696,-0.31964241784303127,0.25,0.25,0.25,0.0,0.0,0.0
69,0.13640558365592934,0.02436107587147335,0.5,0.0,0.625,1.0,0.5,0.75,1.0,0.1275009013851131,0.06205772113801425,0.625,0.5,0.75,1.0,0.875,1.0,1.0,-0.008904682270816228,1.5474129905191667,0.125,0.5,0.125,0.0,0.375,0.25
70,0.1756980389306911,0.03378724233494499,0.375,0.0,0.875,1.0,0.5,0.875,1.0,0.11666531538109065,0.019623927212147563,0.75,0.625,1.0,1.0,0.875,0.875,1.0,-0.05903272354960046,-0.41919121372473755,0.375,0.625,0.125,0.0,0.375,0.0
71,0.1663307372131649,0.06246130946846896,0.375,0.125,0.875,1.0,0.625,1.0,1.0,0.10954365819411466,0.05420481905780509,0.625,0.5,0.875,1.0,0.625,0.875,1.0,-0.05678707901905025,-0.13218567591561337,0.25,0.375,0.0,0.0,0.0,-0.125
72,0.21716805338653397,0.07871364804702419,0.25,0.125,0.75,1.0,0.75,1.0,1.0,0.1075182673745197,0.017863695791031822,0.625,0.5,1.0,1.0,0.625,0.875,1.0,-0.10964978601201428,-0.7730546578102961,0.375,0.375,0.25,0.0,-0.125,-0.125
73,0.1246711252064948,0.0929475699240877,0.5,0.375,0.875,1.0,0.75,0.875,1.0,0.12120449568377717,0.05274483431723108,0.75,0.5,0.875,1.0,0.75,1.0,1.0,-0.003466629522717632,-0.43253132534493444,0.25,0.125,0.0,0.0,0.0,0.125
74,0.12325477677374094,0.04300178137661097,0.375,0.25,1.0,1.0,0.375,0.75,1.0,0.09810084384170532,0.013930616515911225,0.625,0.375,0.875,1.0,0.5,0.75,1.0,-0.02515393293203562,-0.6760455946253379,0.25,0.125,-0.125,0.0,0.125,0.0
75,0.11161899412569294,0.046488702379415714,0.625,0.25,0.75,1.0,0.625,0.75,1.0,0.10980596627232495,0.0156480605495432,0.625,0.375,0.875,1.0,0.5,0.875,1.0,-0.001813027853367996,-0.6634007888232248,0.0,0.125,0.125,0.0,-0.125,0.125
76,0.14880156558121713,0.054277189633235315,0.5,0.0,0.875,1.0,0.375,1.0,1.0,0.11357712850931985,0.025197942176196798,0.75,0.5,0.875,1.0,0.625,0.875,1.0,-0.03522443707189728,-0.5357544790644899,0.25,0.5,0.0,0.0,0.25,-0.125
77,0.1998512691191356,0.11776203525585767,0.25,0.125,0.875,1.0,0.75,1.0,1.0,0.14020324764572195,0.02337702658372584,0.625,0.5,0.875,1.0,0.75,0.875,1.0,-0.05964802147341364,-0.8014892785018928,0.375,0.375,0.0,0.0,0.0,-0.125
78,0.16893577877156893,0.046999187640814066,0.5,0.25,0.875,1.0,0.625,0.875,1.0,0.10009987473627964,0.0467875605085947,0.625,0.625,1.0,1.0,0.75,0.875,1.0,-0.06883590403528929,-0.004502782768006641,0.125,0.375,0.125,0.0,0.125,0.0
79,0.17006652191963806,0.0647789947897144,0.25,0.125,0.875,1.0,0.5,0.75,1.0,0.1230311173453737,0.05432999993709916,0.75,0.5,0.875,1.0,0.75,1.0,1.0,-0.04703540457426436,-0.16130220739816614,0.5,0.375,0.0,0.0,0.25,0.25
80,0.20085366875986674,0.0813523376069298,0.0,0.0,0.75,1.0,0.625,0.625,1.0,0.11917210537279394,0.04626939387684424,0.625,0.375,1.0,1.0,0.625,1.0,1.0,-0.0816815633870728,-0.4312469040483614,0.625,0.375,0.25,0.0,0.0,0.375
81,0.14879109572432891,0.08694585120165273,0.5,0.25,0.875,1.0,0.75,0.875,1.0,0.08908344531549436,0.04657386271878214,0.75,0.625,1.0,1.0,0.75,0.875,1.0,-0.05970765040883455,-0.46433484663041824,0.25,0.375,0.125,0.0,0.0,0.0
82,0.15071337692342585,0.14514759440881556,0.375,0.125,0.625,1.0,0.75,1.0,1.0,0.08443336205851099,0.019972066913058403,0.875,0.625,0.875,1.0,0.625,0.875,1.0,-0.06628001486491486,-0.8624016678030084,0.5,0.5,0.25,0.0,-0.125,-0.125
83,0.14157298518590575,0.04891980251662283,0.375,0.125,1.0,1.0,0.5,1.0,1.0,0.11682576307820376,0.05283619221896095,0.75,0.625,1.0,1.0,0.875,1.0,1.0,-0.024747222107701985,0.08005734898474581,0.375,0.5,0.0,0.0,0.375,0.0
84,0.08936668669425901,0.020507106879713088,0.75,0.375,0.75,1.0,0.5,1.0,1.0,0.13135669367150832,0.021157589273230724,0.625,0.5,1.0,1.0,0.75,0.875,1.0,0.041990006977249306,0.03171985191929405,-0.125,0.125,0.25,0.0,0.25,-0.125
85,0.1766660900935229,0.13537079386769688,0.25,0.125,0.625,1.0,0.875,1.0,1.0,0.0953445463289186,0.02913130495955519,0.75,0.5,0.75,1.0,0.625,0.875,1.0,-0.0813215437646043,-0.7848036188069759,0.5,0.375,0.125,0.0,-0.25,-0.125
86,0.16697090903502518,0.03665407296858014,0.375,0.25,0.875,1.0,0.625,0.75,1.0,0.09163351571045403,0.04818910526337655,0.75,0.5,0.875,1.0,0.625,1.0,1.0,-0.07533739332457115,0.31469987809224453,0.375,0.25,0.0,0.0,0.0,0.25
87,0.17859664543624482,0.08638533482421343,0.375,0.25,0.75,1.0,0.875,0.875,1.0,0.10846783972182314,0.016683604099414398,0.625,0.5,1.0,1.0,0.625,0.875,1.0,-0.07012880571442168,-0.8068699492412217,0.25,0.25,0.25,0.0,-0.25,0.0
88,0.15309191253205306,0.077580070589599,0.375,0.125,0.875,1.0,0.625,0.875,1.0,0.1078253671271267,0.04357384925867432,0.75,0.5,0.875,1.0,0.75,0.875,1.0,-0.04526654540492636,-0.43833707642286956,0.375,0.375,0.0,0.0,0.125,0.0
89,0.18815001666424086,0.10542115953584778,0.25,0.0,0.875,1.0,0.75,0.875,1.0,0.09265808608789301,0.04146897610691767,0.625,0.375,0.875,1.0,0.5,0.875,1.0,-0.09549193057634785,-0.606635173721302,0.375,0.375,0.0,0.0,-0.25,0.0
90,0.1914372135073773,0.10694308985352902,0.25,0.125,0.75,1.0,0.625,0.875,1.0,0.08919816573472258,0.04692600140771372,0.875,0.625,0.875,1.0,0.75,1.0,1.0,-0.10223904777265472,-0.5612058575080977,0.625,0.5,0.125,0.0,0.125,0.125
91,0.1719368871417688,0.03780401359731873,0.375,0.125,0.875,1.0,0.625,0.75,1.0,0.08233158355048995,0.013052780908831113,0.875,0.625,1.0,1.0,0.625,1.0,1.0,-0.08960530359127886,-0.6547249969840004,0.5,0.5,0.125,0.0,0.0,0.25
92,0.13403640875193418,0.06887643270245787,0.375,0.375,0.75,1.0,0.875,0.875,1.0,0.12342725064818423,0.024723314770124072,0.625,0.5,1.0,1.0,0.625,0.875,1.0,-0.010609158103749947,-0.6410482686156622,0.25,0.125,0.25,0.0,-0.25,0.0
93,0.15391043918884204,0.039784986416053915,0.5,0.25,1.0,1.0,0.5,0.75,1.0,0.10829547134183899,0.053066759799743755,0.625,0.375,0.75,1.0,0.5,0.875,1.0,-0.04561496784700304,0.3338388316837635,0.125,0.125,-0.25,0.0,0.0,0.125
