method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,formal_seed
A0_E3G,65,65,20065,-32.37553024291992,-8.09388256072998,0.0089148413389921,0.0096294376276073,True,0.0588406440801918,3,SrEu3,Eu-Sr,4.000948217287421,False,False,0.0588239057045143,0.0002350018672041,False,True,True,True,True,False,False,True,True,False,True,0.0588239057045143,0.0588239057045143,20065
A0_E3G,66,66,20066,-136.7550048828125,-6.837750244140625,0.0842612460255622,1.5318041428149671,False,13.659517930937,500,Li3Mn6BClO9,B-Cl-Li-Mn-O,1.3902005619160875,False,False,0.3151853792331831,0.3310732703596407,False,False,True,True,True,True,True,True,True,True,False,0.3151853792331831,0.3151853792331831,20066
A0_E3G,67,67,20067,-68.64985656738281,-6.240896051580256,0.0453576035797596,0.1770346287937097,True,1.606123207020573,67,Eu3MnGa2AgSn4,Ag-Eu-Ga-Mn-Sn,2.771595154063834,False,False,0.1747326884539459,0.1638602915981842,False,False,True,True,True,True,True,True,True,True,False,0.1747326884539459,0.1747326884539459,20067
A0_E3G,68,68,20068,-70.6632080078125,-7.06632080078125,0.0496549122035503,0.8844240108110125,True,1.1396963419392705,42,Mn4ZnO5,Mn-O-Zn,1.8925117757660488,False,False,0.2523989094623768,0.0400324728273836,False,False,True,True,True,True,True,True,True,True,True,0.2523989094623768,0.2523989094623768,20068
A0_E3G,69,69,20069,-31.160377502441406,-7.790094375610352,0.0444778352975845,0.1570413477226029,True,0.5749456139747053,24,Eu2PdI,Eu-I-Pd,2.976325223693072,False,False,0.0475901708187311,0.0163465099493034,False,True,False,False,True,False,False,True,True,False,True,0.0475901708187311,0.0475901708187311,20069
A0_E3G,70,70,20070,-86.85504150390625,-8.685504150390624,0.0489883981645107,0.0256952267233231,True,0.4463636699365452,18,Eu3PtO6,Eu-O-Pt,1.9957691823916337,False,False,0.3057203743984349,0.0028614702729255,False,False,True,True,True,True,True,True,True,True,True,0.3057203743984349,0.259550838542685,20070
A0_E3G,71,71,20071,-33.25051498413086,-6.650102996826172,0.0440302528440952,0.217534378439839,True,0.6503380319336429,25,Mn2FeH2,Fe-H-Mn,1.8216147432941387,False,False,0.1158397883272694,0.0208098219675566,False,False,False,False,True,True,True,True,True,True,True,0.1158397883272694,0.1158397883272694,20071
A0_E3G,72,72,20072,-118.43450927734376,-6.57969495985243,0.0498144440352916,0.4739279130761952,True,1.3036226970143616,49,Mn3(OF2)2,F-Mn-O,1.8975662875337824,False,False,0.1986910164001756,0.0337411613861238,False,False,True,True,True,True,True,True,True,True,True,0.1986910164001756,0.1986910164001756,20072
A0_E3G,73,73,20073,-192.36428833007807,-9.618214416503909,0.05000901222229,0.3019372029467689,True,4.077859192970209,145,EuGd3P2CO13,C-Eu-Gd-O-P,1.278211903272262,False,False,0.0664428482826728,0.0476023551386303,True,True,True,True,True,True,True,True,True,True,False,0.0664428482826728,0.0664428482826728,20073
A0_E3G,74,74,20074,-77.03834533691406,-6.419862111409505,0.0392700843513011,0.0239724980429597,True,0.6092402508947998,22,EuNi9B2,B-Eu-Ni,2.014664451024498,False,False,0.1277241924516055,0.0015924282127768,False,False,False,False,True,True,True,True,True,True,True,0.1277241924516055,0.1277241924516046,20074
A0_E3G,75,75,20075,-31.935035705566406,-7.983758926391602,0.0145079409703612,0.1997868542018812,True,0.2700636610388756,10,Eu2SbBr,Br-Eu-Sb,3.188944532763347,False,False,0.0399913403262139,0.0331843135322074,True,True,True,True,True,True,True,True,True,True,True,0.0399913403262139,0.0306033482652487,20075
A0_E3G,76,76,20076,-112.9189910888672,-10.265362826260654,0.0503866672515869,0.5086659819820192,True,1.2301897890865805,46,Eu2Gd2O7,Eu-Gd-O,2.1670189069769066,False,False,0.2337746482274383,0.0177246617434239,False,False,True,True,True,True,True,True,True,True,False,0.2337746482274383,0.2337746482274383,20076
A0_E3G,77,77,20077,-29.28158950805664,-7.32039737701416,0.0162223558872938,0.0523079989651725,True,0.2798937610350549,11,Fe2NiPt,Fe-Ni-Pt,2.451802761134531,False,False,0.0519804770883105,0.0028169137723633,False,True,True,True,True,False,False,False,False,False,True,0.0519804770883105,0.0301737988983106,20077
A0_E3G,78,78,20078,-66.37133026123047,-8.296416282653809,0.038229014724493,0.8216216709838106,True,1.077273724018596,42,MnFeCoC,C-Co-Fe-Mn,1.8807802166492984,False,False,0.2874759574009946,0.0314963689385035,False,False,True,True,True,True,True,True,True,True,False,0.2874759574009946,0.2874759574009946,20078
A0_E3G,79,79,20079,-45.378639221191406,-7.563106536865234,0.0267973374575376,0.0793371613989615,True,0.5743099210085347,21,Fe2Co3Rh,Co-Fe-Rh,2.412136390454494,False,False,0.0964622591033226,0.0241206743535964,True,True,True,True,True,True,True,True,True,True,True,0.0964622591033226,0.0964622591033226,20079
A0_E3G,80,80,20080,-32.824913024902344,-8.206228256225586,0.0322319194674491,0.0123835282237065,True,1.292415972915478,53,Fe3Rh,Fe-Rh,2.6207266531041618,False,False,0.0301917632220511,0.030408911520074,False,True,True,True,True,False,False,True,True,False,True,0.0301917632220511,0.0,20080
A0_E3G,81,81,20081,-46.624610900878906,-7.770768483479817,0.0071040336042642,0.0162402236462062,True,0.3208050940884277,12,EuCo3B2,B-Co-Eu,2.0790630279508027,False,False,0.0722690163743617,0.0005558078253445,False,True,True,True,True,False,False,True,True,False,True,0.0722690163743617,0.0,20081
