comparison,seed,elapsed_A0,elapsed_G1,speed_multiplier_left_over_right,physical_forward_A0,physical_forward_G1,energy_above_hull_A0,energy_above_hull_G1,stable_A0,stable_G1,NUS_A0,NUS_G1,elapsed_G2,physical_forward_G2,energy_above_hull_G2,stable_G2,NUS_G2
A0_vs_G2,14017,188.25468729698332,,1.240505333013375,2000.0,,0.14175166411179774,,False,,False,,151.75645141297719,1580.0,0.11570466951603464,False,False
A0_vs_G2,14018,205.11396743997466,,1.2324250337583416,2000.0,,0.03646736532066441,,True,,False,,166.43119201698573,1580.0,0.03158707619244083,True,True
A0_vs_G2,14019,206.13041038397932,,1.2373997992940686,2000.0,,0.016111661228229934,,True,,False,,166.58351690502604,1580.0,0.0900934239869624,True,True
A0_vs_G2,14020,188.43780503497692,,1.2832237717548352,2000.0,,0.7842156486306688,,False,,False,,146.8471900090226,1580.0,0.27307486910636314,False,False
A0_vs_G2,14021,198.37612980196718,,1.2273002475411405,2000.0,,0.22697247701241174,,False,,False,,161.63618495099945,1580.0,0.3272120309827873,False,False
A0_vs_G2,14022,192.31185981200542,,1.2279063250901072,2000.0,,0.06966924543342579,,True,,False,,156.61769622197608,1580.0,0.0720326327353753,True,True
A0_vs_G2,14023,203.91862763901008,,1.2426318098410967,2000.0,,0.15264308993950593,,False,,False,,164.10221114900196,1580.0,0.1704410122407385,False,False
A0_vs_G2,14024,257.1682357119862,,1.2320377159546694,2000.0,,0.05214780559430565,,True,,False,,208.73406096396502,1580.0,-0.006426998075943047,True,False
A0_vs_G2,14025,187.93322589801392,,1.2394559685340159,2000.0,,0.059786954108515644,,True,,False,,151.6255765989772,1580.0,0.08300815026249975,True,False
A0_vs_G2,14026,203.53968275297666,,1.2146275855583333,2000.0,,0.19209510133754648,,False,,False,,167.5737363229855,1580.0,0.3158744054918188,False,False
A0_vs_G2,14027,205.1457970259944,,1.2245403910211285,2000.0,,0.20983104586505874,,False,,False,,167.52881205896847,1580.0,0.060533275682766785,True,True
A0_vs_G2,14028,190.2740627049934,,1.4725163389825988,2000.0,,0.009159863517567146,,True,,True,,129.21694494504482,1580.0,0.10819315013261743,False,False
A0_vs_G2,14029,200.66627244802658,,1.22343232118757,2000.0,,0.14309506077133882,,False,,False,,164.01910344598582,1580.0,0.09851636275412545,True,False
A0_vs_G2,14030,192.30479992902838,,1.2669308257088778,2000.0,,0.13250883692281867,,False,,False,,151.78792403399711,1580.0,0.051544701403798854,True,True
