split,model,stage,timestep_bin,field,count,residual_mse,residual_rmse,residual_cosine,score_after_mse
stage_a_validation,lightweight_adapter,decile,9,pos,25800,15532.271730654222,124.62853497756532,0.37317490704211026,15532.271730654222
stage_a_validation,lightweight_adapter,early,-1,atomic_numbers,2892438,5.529137947388435,2.351411905087757,0.2492297254422863,5.529137947388435
stage_a_validation,lightweight_adapter,early,-1,cell,23976,0.02783028720553329,0.1668241205747337,0.9339635752971402,0.02783028720553329
stage_a_validation,lightweight_adapter,early,-1,pos,85914,0.10154456271116945,0.3186605760227792,0.008330686742537952,0.10154456271116945
stage_a_validation,lightweight_adapter,late,-1,atomic_numbers,2901124,0.614326055642053,0.7837895480561431,0.08544113193385981,0.614326055642053
stage_a_validation,lightweight_adapter,late,-1,cell,24048,22.46470847500263,4.73969497700038,0.257959523233975,22.46470847500263
stage_a_validation,lightweight_adapter,late,-1,pos,86172,6415.048791385409,80.09399972148606,0.37406207823929694,6415.048791385409
stage_a_validation,lightweight_adapter,middle,-1,atomic_numbers,2892438,4.371815805076802,2.090888759613194,0.2645242445550894,4.371815805076802
stage_a_validation,lightweight_adapter,middle,-1,cell,23976,0.026610495679062308,0.1631272376982529,0.9262366027344705,0.026610495679062308
stage_a_validation,lightweight_adapter,middle,-1,pos,85914,103.73895004617492,10.185231958388327,0.4621795456200385,103.73895004617492
stage_a_validation,lightweight_adapter,overall,-1,atomic_numbers,8686000,3.5022025021553698,1.8714172442711352,0.23746690840037293,3.5022025021553698
stage_a_validation,lightweight_adapter,overall,-1,cell,72000,7.521341411351449,2.7425064104485606,0.26231744724120154,7.521341411351449
stage_a_validation,lightweight_adapter,overall,-1,pos,258000,2177.205181027485,46.66053129816982,0.37547533343627465,2177.205181027485
stage_a_validation,linear_residual,decile,0,atomic_numbers,868600,5.330477931351807,2.30878278132695,0.1025469680616128,5.330477931351807
stage_a_validation,linear_residual,decile,0,cell,7200,0.06498886936195454,0.25492914576790654,0.9388868980588746,0.06498886936195454
stage_a_validation,linear_residual,decile,0,pos,25800,3.834469555034194,1.9581801640896566,0.007678758533564145,3.834469555034194
stage_a_validation,linear_residual,decile,1,atomic_numbers,868600,5.839826269551628,2.416573249366058,0.11374111852774188,5.839826269551628
