comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,rmsd,0.19468485351338977,0.0017497665157372808,256
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,relaxation_steps,0.20825241850173437,0.0008006656583241085,256
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,e_hull,0.0454072728313115,0.46947463815701274,256
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,severe,0.01959984755733405,0.7549699558691991,256
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,initial_max_force,0.16373884184023801,0.008671553656356492,256
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,atomic_force_mean,0.1558115415426871,0.012558581258838226,256
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,rmsd,0.07972934309910734,0.20356803826002748,256
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,relaxation_steps,0.12975958176051744,0.038007609145307035,256
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,e_hull,-0.0016150720988784618,0.9794848922144197,256
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,severe,0.06106619170924486,0.3304608320811444,256
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,initial_max_force,0.33778896772716865,2.991698535175748e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,atomic_force_mean,0.35848449301899743,3.524094701519336e-09,256
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,rmsd,0.3319130521858548,5.339856765542058e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,relaxation_steps,0.3715295653602652,8.439503480324986e-10,256
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,e_hull,0.21325746738384066,0.0005925093959602184,256
FT0_vs_C0,conditional_hidden,gemnet_h3,mid_30_70,severe,0.251864707726558,4.581398789540288e-05,256
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,initial_max_force,0.3271744106202792,8.445624045895196e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,atomic_force_mean,0.32459873540856027,1.0800400646989653e-07,256
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,rmsd,0.2525356202792401,4.3653858467335525e-05,256
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,relaxation_steps,0.31374029001199905,2.9711163969757606e-07,256
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,e_hull,0.09677843900205996,0.12246609858437915,256
FT0_vs_C0,conditional_hidden,gemnet_h4,early_0_30_high_to_mid_noise,severe,0.1041325234168564,0.09641470053349326,256
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,initial_max_force,0.22001101510643167,0.0003903810194731057,256
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,atomic_force_mean,0.2142338063630121,0.0005582630231989791,256
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,rmsd,0.17377045662623025,0.005304064800828129,256
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,relaxation_steps,0.25940578108441054,2.641705468688523e-05,256
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,e_hull,0.09412980659189744,0.13308591382470397,256
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,severe,0.1593320940885319,0.01067477605709933,256
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,initial_max_force,0.20032973792629888,0.0012715846585115078,256
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,atomic_force_mean,0.20869978828107116,0.0007796244660029799,256
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,rmsd,0.19592512588693065,0.0016324452645033003,256
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,relaxation_steps,0.2651060204928732,1.7227512846840237e-05,256
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,e_hull,0.0895034618905928,0.1533164624126103,256
FT0_vs_C0,conditional_hidden,gemnet_h4,mid_30_70,severe,0.14599886445769242,0.019434685351645727,256
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,initial_max_force,0.3546928644998855,5.2757931372903705e-09,256
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,atomic_force_mean,0.35385814831769274,5.761791527240504e-09,256
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,rmsd,0.29223261405510415,1.9640363911608763e-06,256
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,relaxation_steps,0.37925712162111186,3.510147836874406e-10,256
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,e_hull,0.19545233463035014,0.001676291964481111,256
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,severe,0.12522588093906667,0.045317549638046614,256
TCL_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,initial_max_force,0.2037651636530098,0.001042664432002772,256
TCL_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,atomic_force_mean,0.20809324216067748,0.0008082777103894587,256
TCL_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,rmsd,0.09225189049480334,0.14103508882647434,256
TCL_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,relaxation_steps,0.17642532161595512,0.004636897150254228,256
TCL_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,e_hull,0.2468335145342183,6.55320243734399e-05,256
TCL_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,severe,0.21051752425583256,0.0006992727275439873,256
TCL_vs_C0,cfg2_score,atomic_numbers,mid_30_70,initial_max_force,-0.074457827878233,0.235170946940062,256
TCL_vs_C0,cfg2_score,atomic_numbers,mid_30_70,atomic_force_mean,-0.06971560997940031,0.2664204511058364,256
TCL_vs_C0,cfg2_score,atomic_numbers,mid_30_70,rmsd,-0.056783956709194346,0.3655568500509807,256
TCL_vs_C0,cfg2_score,atomic_numbers,mid_30_70,relaxation_steps,-0.09780930980144976,0.11851536376692262,256
TCL_vs_C0,cfg2_score,atomic_numbers,mid_30_70,e_hull,0.13048037308308535,0.03694268287450927,256
TCL_vs_C0,cfg2_score,atomic_numbers,mid_30_70,severe,0.05587506498593526,0.3732931619743114,256
