method,seed,num_atoms,formula,elements,num_elements,min_distance,nearest_neighbor_p05,nearest_neighbor_median,nearest_neighbor_mean,pairs_lt_1A,pairs_lt_1p5A,pairs_lt_2A,mean_neighbors_lt_3A,relaxed_min_distance,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_length_min,cell_length_max,cell_length_aspect_ratio,cell_volume,cell_volume_per_atom,cell_determinant,cell_condition_number,relaxation_volume_change_fraction,initial_atomic_force_mean,initial_max_force,e_hull,stable,nus,novel,unique,rmsd,atomic_force_mean,relaxation_steps,severe,severity_score
TCL,83214,14,C4Mn10,C;Mn,2,1.8184627465839382,1.8184627465839382,1.8912788550795014,1.9150036542777136,0,0,15,10.142857142857142,1.9092967983619684,4.759666898164403,4.9058340728854555,7.064510345458984,100.67520563411239,117.88585441038917,103.4806623051268,4.759666898164403,7.064510345458984,1.4842446953973734,133.21702353837026,9.515501681312161,133.21702353837026,2.291198802857124,0.011042693129536518,0.7256014195836,1.383795751729871,0.268366457216068,False,False,True,True,0.122135264427262,0.7256014195836,115,True,3.383795751729871
TCL,83150,12,GeMn7N4,Ge;Mn;N,3,1.7936601014154838,1.7936601014154838,1.8222762560368502,1.8768339939516823,0,0,20,9.166666666666666,1.8331849173178576,5.13807273527771,5.142231368029872,5.860517978668213,109.65981323522048,110.38614298083793,110.90120109393735,5.13807273527771,5.860517978668213,1.1406062702129995,115.30979320209069,9.609149433507557,115.30979320209069,2.214237368829175,0.09103566438749015,0.6467836703862875,1.3102181317821737,0.1682836379687469,False,False,True,True,0.06076782284809462,0.6467836703862875,66,True,3.3102181317821735
TCL,83049,12,CInIrMn8Zn,C;In;Ir;Mn;Zn,5,1.9498071963658157,1.9498071963658157,2.4098623600064686,2.3346169712105893,0,0,2,2.1666666666666665,1.9284727709921918,2.681659228279421,2.6897467043968244,22.926000595092773,90.03706994261339,89.81754767113024,119.81060297337109,2.681659228279421,22.926000595092773,8.549184905123953,143.48190577933676,11.956825481611396,143.48190577933676,12.037833367782287,0.03990416128276242,0.4141988828528161,1.2681529728721175,0.2673740570279861,False,False,True,True,0.12979387047766142,0.4141988828528161,71,True,3.2681529728721177
TCL,83182,12,C4Fe3Mn5,C;Fe;Mn,3,1.8939521392664769,1.8939521392664769,1.9033492131504932,1.9246891357199267,0,0,14,8.333333333333334,1.9502172137505562,4.687827509583257,4.895745911409407,5.755655765533447,115.62351861647717,114.35726248257669,90.57463356310915,4.687827509583257,5.755655765533447,1.2277874460541145,105.61044953500011,8.800870794583343,105.61044953500011,2.0629381023809046,0.05068050412167408,0.46565252738830093,1.2212775266078404,0.1633173274605113,False,False,True,True,0.0756733684262736,0.46565252738830093,66,True,3.2212775266078406
TCL,83215,18,C5Fe2Mn11,C;Fe;Mn,3,1.8209740437778175,1.8209740437778175,1.8630648082259182,1.8835613512091822,0,0,25,10.88888888888889,1.9007407225334112,4.681822497172493,5.236062269165102,7.124614715576172,89.97045510517522,90.2616943684177,90.45442183627682,4.681822497172493,7.124614715576172,1.5217609637868506,174.64770823719098,9.702650457621722,174.64770823719098,1.5220394225701177,0.04956572359998095,0.7106256421405215,1.20827120987278,0.2096683000562347,False,False,True,True,0.06416803681200556,0.7106256421405215,80,True,3.20827120987278
TCL,83180,12,Ge2Mn8N2,Ge;Mn;N,3,1.826948357115462,1.826948357115462,1.8625175089132584,1.9928460569450042,0,0,10,8.666666666666666,1.8805350283387805,4.901555488063189,5.557359904191354,6.322774410247803,110.53926049986518,109.3192267032073,97.29002794990396,4.901555488063189,6.322774410247803,1.289952633535563,146.33484002305775,12.194570001921479,146.33484002305775,1.9055768603487107,-0.010253630641132274,0.6120692223213063,1.1964541803147015,0.2553663926692735,False,False,True,True,0.10111003446431172,0.6120692223213063,93,True,3.1964541803147015
TCL,83127,18,C5FeMn12,C;Fe;Mn,3,1.7895384482301775,1.7895384482301775,1.9763784472973989,1.9514828901162566,0,0,9,10.0,1.8403495606848461,4.5670975431697425,5.145343030713254,7.475686073303223,85.27692684504532,95.55601311871396,100.19212678172946,4.5670975431697425,7.475686073303223,1.6368571073073266,171.70715581104537,9.539286433946964,171.70715581104537,1.7451060441700674,0.003648047925231005,0.501492477229629,1.186470330789806,0.14628434237649124,False,False,True,True,0.0562617656200584,0.501492477229629,54,True,3.186470330789806
TCL,83104,10,C2Al2Mn6,Al;C;Mn,3,1.8481804515468474,1.8481804515468474,1.8536481321905958,1.995286792933602,0,0,8,5.6,1.9185654037782018,2.7265016374925675,5.130853585453292,7.810569763183594,90.10727062642107,90.0314623581577,74.67063182076461,2.7265016374925675,7.810569763183594,2.8646855207344015,105.37666857269255,10.537666857269254,105.37666857269255,3.009500247455654,0.05397984355317777,0.4987463946250523,1.1707326218609224,0.06418842073437503,True,True,True,True,0.031155989160688076,0.4987463946250523,51,True,3.1707326218609224
TCL,83202,12,C2CoMn4Ni3Se2,C;Co;Mn;Ni;Se,5,1.7821293928344444,1.7821293928344444,1.955754596605089,2.0100539702031095,0,0,6,5.833333333333333,1.8535247280251885,3.0794324429396283,6.971820269326918,6.894416809082031,83.9787196284692,89.97966903178637,89.9608996690704,3.0794324429396283,6.971820269326918,2.263995199930937,147.20130002188714,12.266775001823929,147.20130002188714,2.367233282893869,0.02378166830814004,0.3490696565800948,1.1203655988356322,0.26793669361368266,False,False,True,True,0.2886777704503028,0.3490696565800948,122,True,3.1203655988356322
TCL,83015,14,C5Mn9,C;Mn,2,1.7997679026434112,1.7997679026434112,1.9180179029632032,1.91105360113902,0,0,18,10.142857142857142,1.8652204974782716,4.822588238650542,5.15861072091026,5.537046432495117,84.38536859949667,109.86626190370445,103.81501701019819,4.822588238650542,5.537046432495117,1.1481482885307446,125.78339613421554,8.984528295301109,125.78339613421554,1.572300348683228,0.02777862891188704,0.4755349685907882,1.0940008824939689,0.12654557208305128,False,False,True,True,0.06175718092167511,0.4755349685907882,57,True,3.094000882493969
