relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
experiments/innovation1_adaptive_cfg/reproduction.md,118,2ecfc558a1f3ffa27aae5623fa42d8e5714d53a2e7439ddeba6399c035385507,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/seeds.txt,14,f822b7d9ab179be3c02f3f1c48f0edbdc66d39ee9f067fcbff75f27b040bfdf2,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/source_files.md,72,d1ec05b14fb189b88c28e270aeee1f49919a496358aa1d565f5b5d363f8f131e,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/statistics.json,192,09d0090e3400ded4aec883a418ab5f828781e8f708def3e9da03527f29e50c4a,experiment,innovation1,False,,generated,
experiments/innovation2_e3_pcr_formal256/README.md,1952,eb7ba8a25949bf935b9e22a02ec895c0a175ba1ad5a9c045c60bbec1814c6d97,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/data_schema.md,177,6a2b2674fe3cb19c050756b206ea2da39b3be32aae93e9663d6a40750e851bc7,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/experiment_manifest.json,858,4bba6a0d1451f18d075154377af9a160af9ca66669a41b0887ac17a2c128febf,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/final_summary.json,753,dcdee950bac34331c9464aaa8772787586d93b7269315b962d44deb55a2ca56d,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/limitations.md,157,9711ce15e44a0557a74832f82da336dca2e278eb351e29d2d7b65d0887ba497e,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/per_seed_metrics.csv,91657,563ef9591e635e1406db210324485c8afadf53b8662a63ffa1a3a2aab103251f,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/per_seed_metrics.json,254619,8b43769cc12c9b0ef50051153935bee28b51e8dc2c603df381ecad4963ecd2eb,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/reproduction.md,118,2ecfc558a1f3ffa27aae5623fa42d8e5714d53a2e7439ddeba6399c035385507,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/seeds.txt,14,7003af176cfbeb213f32dc11ff77a30c8dc6224c7d8e9a79774112db50d95791,experiment,innovation2,False,,generated,
experiments/innovation2_e3_pcr_formal256/source_files.md,72,02aea5ff54284507b488d08632c69aaa8a395b5e5345ede6cdca87a84d7d4fe6,experiment,innovation2,False,,generated,
