config,seed,chgnet_mag_density,target_error,hit_0.01,hit_0.02,hit_0.05
A0_B1,24088,0.12351402966655196,0.023514029666551958,False,False,True
A0_B1,24089,0.07384311487842664,0.026156885121573367,False,False,True
A0_B1,24090,0.11546913900541654,0.015469139005416535,False,True,True
A0_B1,24091,0.12470063264947417,0.02470063264947417,False,False,True
A0_B1,24092,0.08104592252817587,0.018954077471824135,False,True,True
A0_B1,24093,0.15027298528643523,0.05027298528643523,False,False,False
A0_B1,24094,0.112711975705137,0.01271197570513699,False,True,True
A0_B1,24095,0.11421976541954706,0.014219765419547059,False,True,True
A0_B1,24096,0.11679459316560004,0.01679459316560003,False,True,True
A0_B1,24097,0.05039587216319347,0.04960412783680654,False,False,True
A0_B1,24098,0.10902221567625596,0.009022215676255954,True,True,True
A0_B1,24099,0.10874667569851658,0.008746675698516573,True,True,True
A0_B1,24100,0.07807365918176833,0.02192634081823168,False,False,True
A0_B1,24101,0.11243768115476478,0.012437681154764776,False,True,True
A0_B1,24102,0.18350400630816285,0.08350400630816285,False,False,False
A0_B1,24103,0.1028842651159009,0.002884265115900897,True,True,True
A0_B1,24104,0.18252573229347108,0.08252573229347107,False,False,False
A0_B1,24105,0.10960725393295331,0.009607253932953308,True,True,True
A0_B1,24106,0.007782718143384094,0.09221728185661592,False,False,False
A0_B1,24107,0.11510745866479725,0.01510745866479725,False,True,True
A0_B1,24108,0.11255713658139599,0.012557136581395983,False,True,True
A0_B1,24109,0.12935626077889475,0.02935626077889475,False,False,True
A0_B1,24110,0.13438090984325732,0.03438090984325731,False,False,True
A0_B1,24111,0.10107138851289302,0.0010713885128930123,True,True,True
A0_B1,24112,0.08963159344009047,0.010368406559909532,False,True,True
A0_B1,24113,0.17911940916258015,0.07911940916258015,False,False,False
A0_B1,24114,0.08567219472503795,0.014327805274962052,False,True,True
A0_B1,24115,0.20097303017672966,0.10097303017672965,False,False,False
A0_B1,24116,0.07183768334862921,0.028162316651370797,False,False,True
A0_B1,24117,0.1550705831034922,0.05507058310349219,False,False,False
A0_B1,24118,0.11371819883350885,0.013718198833508846,False,True,True
A0_B1,24119,0.16618085287381645,0.06618085287381645,False,False,False
A0_B1,24120,0.07250448642947979,0.027495513570520214,False,False,True
A0_B1,24121,0.10083776079150786,0.0008377607915078522,True,True,True
A0_B1,24122,0.11912565545171756,0.019125655451717558,False,True,True
A0_B1,24123,0.16905655508842884,0.06905655508842884,False,False,False
A0_B1,24124,0.11542668408643889,0.01542668408643888,False,True,True
A0_B1,24125,0.13613692951038825,0.036136929510388244,False,False,True
A0_B1,24126,0.1569190782281249,0.05691907822812489,False,False,False
A0_B1,24127,0.09744164745904649,0.002558352540953518,True,True,True
A0_B4,24064,0.0002300293904489246,0.09976997060955108,False,False,False
A0_B4,24065,0.0004098218520861387,0.09959017814791386,False,False,False
A0_B4,24066,0.00014171394692685492,0.09985828605307315,False,False,False
A0_B4,24067,0.0003782438828953319,0.09962175611710468,False,False,False
A0_B4,24068,0.0005045692585002906,0.09949543074149972,False,False,False
A0_B4,24069,0.0007733598274009942,0.09922664017259901,False,False,False
A0_B4,24070,0.0003617381732113766,0.09963826182678863,False,False,False
A0_B4,24071,0.0002547229241730207,0.09974527707582699,False,False,False
A0_B4,24072,9.352366373691324e-05,0.0999064763362631,False,False,False
A0_B4,24073,0.0017792558086141912,0.09822074419138581,False,False,False
A0_B4,24074,0.008036740479466377,0.09196325952053364,False,False,False
A0_B4,24075,0.021049280540643298,0.07895071945935671,False,False,False
A0_B4,24076,0.0007828276602756818,0.09921717233972432,False,False,False
A0_B4,24077,0.0004491479067194003,0.0995508520932806,False,False,False
A0_B4,24078,0.0006674917387169932,0.09933250826128301,False,False,False
A0_B4,24079,0.00041381760056508873,0.09958618239943491,False,False,False
A0_B4,24080,0.0002962890215711178,0.0997037109784289,False,False,False
A0_B4,24081,0.00044257990843827677,0.09955742009156172,False,False,False
A0_B4,24082,0.00011859234405583325,0.09988140765594417,False,False,False
A0_B4,24083,0.0004164381884088719,0.09958356181159113,False,False,False
A0_B4,24084,0.00027040959059610413,0.0997295904094039,False,False,False
A0_B4,24085,0.00036167989421835513,0.09963832010578165,False,False,False
A0_B4,24086,0.0004409527823060019,0.099559047217694,False,False,False
A0_B4,24087,0.000309965565542053,0.09969003443445795,False,False,False
A0_B4,24088,0.08124068740573544,0.01875931259426457,False,True,True
A0_B4,24089,0.0017664258451907497,0.09823357415480925,False,False,False
A0_B4,24090,0.00020355697482937933,0.09979644302517063,False,False,False
A0_B4,24091,0.004543935016076111,0.0954560649839239,False,False,False
A0_B4,24092,0.0005374497314153213,0.09946255026858468,False,False,False
A0_B4,24093,0.0009109634290476639,0.09908903657095235,False,False,False
A0_B4,24094,0.0004986373489755688,0.09950136265102444,False,False,False
A0_B4,24095,0.00025380093343670645,0.0997461990665633,False,False,False
A0_B4,24096,0.00024018242960936254,0.09975981757039064,False,False,False
A0_B4,24097,0.0020186181051993165,0.09798138189480068,False,False,False
A0_B4,24098,0.0001721618182695855,0.09982783818173042,False,False,False
A0_B4,24099,0.1239125706721276,0.023912570672127598,False,False,True
A0_B4,24100,0.0006405425290101523,0.09935945747098986,False,False,False
A0_B4,24101,0.054585842698263345,0.04541415730173666,False,False,True
A0_B4,24102,0.0030077048389708107,0.0969922951610292,False,False,False
A0_B4,24103,0.02162819788586451,0.0783718021141355,False,False,False
A0_B4,24104,0.0014483531292280982,0.0985516468707719,False,False,False
A0_B4,24105,0.0036366211640700553,0.09636337883592995,False,False,False
A0_B4,24106,0.004464326432748329,0.09553567356725168,False,False,False
A0_B4,24107,0.030819054271709504,0.0691809457282905,False,False,False
A0_B4,24108,0.005346359610138379,0.09465364038986163,False,False,False
A0_B4,24109,0.0002270115472694632,0.09977298845273054,False,False,False
