seed,num_atoms,volume_ang3,minimum_distance_angstrom,chgnet_energy_per_atom_ev,chgnet_max_force_ev_ang,chgnet_mag_density,gate_probability,gate_applied,initial_mattersim_max_force,q3_mattersim_max_force,force_improvement,magnetic_element_count
32042,12.0,128.03719388641318,1.9866419104523567,-6.802144527435303,0.1196744088343247,0.1061694453091521,0.9098735902523588,True,0.16322044515885445,0.14668178643968732,0.016538658719167126,7
32043,12.0,132.1911480341246,2.206218559250952,-7.949718952178955,0.4491609404863039,0.0763500452978549,0.2055585327699672,False,0.5976478234593918,0.5976475434444264,2.800149654369477e-07,10
32044,16.0,183.55210117604423,1.897192820520061,-8.072354316711426,0.536551392690858,0.1426246328637493,0.0396014823256479,False,0.6663446863993737,0.6663449364315492,-2.5003217551944346e-07,6
32045,12.0,136.08036872668214,1.9051501984088013,-7.604856014251709,0.27600852469872,0.1123983023942521,0.9559196229883334,True,0.3635505770163333,0.23695993349364206,0.12659064352269125,4
32046,4.0,45.0734689142892,2.5142483770216293,-7.399191856384277,0.0029646093502988,0.148402564298761,0.1391901131865882,False,0.005402705457235939,0.00540280734127251,-1.018840365711246e-07,4
32047,9.0,346.94533135152926,3.5451150136568392,-8.346200942993164,0.1551931864301426,0.1413946959881985,0.1456687554509934,False,0.0786936263805428,0.07869355709820913,6.928233366176872e-08,7
32048,11.0,125.94308098528587,0.970550907532618,-7.262317657470703,0.3495917084931013,0.120447143490775,0.9692201605418606,True,0.460543281388643,0.41279292286891356,0.04775035851972942,4
32049,4.0,53.24029330425099,2.576699982399479,-6.794688701629639,0.2250522625851369,0.0538699758973906,0.1129835022102137,False,0.05419995445281431,0.05420033418429314,-3.7973147883063607e-07,4
32050,20.0,250.3116520925545,1.9405076707755229,-8.230772972106934,0.3330586248552085,0.1219080620089064,0.9903022424474102,True,0.5203934984912149,0.33462457426339776,0.1857689242278171,8
32051,4.0,138.6230787914227,3.610264238784282,-7.36454963684082,0.0396161190264337,0.0996300928350109,0.2792063016262394,False,0.018076246303572435,0.01807579444083858,4.518627338551129e-07,4
32052,15.0,242.27025798250483,1.960191894172244,-9.480242729187012,0.2082481019276858,0.157438123460843,0.7645932796842131,True,0.21489218502425542,0.19096386782953303,0.02392831719472238,7
32053,8.0,124.05970400095954,1.7738569596991252,-11.163761138916016,1.600883828271248,0.1929219993204403,0.7250423324512315,True,1.3176982189638213,0.5843248270280824,0.7333733919357389,4
32054,12.0,416.4222841473676,3.1568843540024987,-7.23803186416626,0.2375999657181403,0.1170402555760601,0.9865085255465696,True,0.1805536576795438,0.18356163176295,-0.003007974083406223,7
32055,8.0,101.64676731444312,2.5007258602752107,-8.123644828796387,0.1428698407127258,0.1671448935918447,0.2524524160429475,False,0.033077804651238066,0.03307787084036221,-6.618912414685374e-08,8
32056,11.0,177.96550803367927,1.9347321063728675,-7.15237283706665,0.377155890868055,0.0846831197006501,0.9771772257517812,True,0.5868507936956786,0.48238187761676177,0.10446891607891684,3
32057,9.0,312.193410251327,2.455306039149429,-6.757640838623047,0.326595694455501,0.0651750141492086,0.8551853297689829,True,0.7664885757845807,0.7352911981415414,0.031197377643039315,3
32058,9.0,108.74220806219974,2.3990557307002374,-7.702352523803711,0.3015233320186885,0.1275758735690864,0.7889566645378747,True,0.26792071589772837,0.19551207747882213,0.07240863841890624,7
32059,20.0,245.69110940856427,1.933728440131763,-9.55960750579834,0.4604603595301817,0.1633708982096789,0.9888249277473262,True,0.6829219744290044,0.43816281175494776,0.24475916267405662,8
32060,11.0,176.91911376438264,1.4931370000407236,-8.675044059753418,0.1721134962183621,0.1125547227276812,0.9975897494279152,True,0.6630506259154652,0.6988578217428647,-0.03580719582739955,3
32061,4.0,149.88133012033265,3.676159007200961,-8.729513168334961,0.0337657539146631,0.1393327242198354,0.2772135047227103,False,0.02461220476114991,0.024612077155441194,1.2760570871489518e-07,4
32062,19.0,256.87482917592774,2.397806490679032,-8.063750267028809,0.0407052239062144,0.1552870253971816,0.9186369560415756,True,0.07726645740800007,0.06826986130463601,0.008996596103364063,19
32063,8.0,105.39103077065248,2.6013843416890943,-7.244996070861816,0.225605157529485,0.0992496116294504,0.8169320357259823,True,0.19195164524429115,0.14649772085042526,0.04545392439386589,8
