method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
V2_Frozen_Atomic75_Late30,69054,H2Fe2Pd2,6,8,0.0528358481282547,1.0,0.0,0.0,1.0,0.0015083737889321522,0.014549560800549447,0.03041766526741492,349.5,371.0,371,0
V2_Frozen_Atomic75_Late30,69055,Eu3O6Ta,10,3,0.0889058405410168,1.0,0.0,0.0,1.0,0.001979237602266259,0.028906243925540642,0.05771141332340683,21.566666666666666,200.0,327,0
V2_Frozen_Atomic75_Late30,69056,Co4Eu2Ge4,10,12,0.0931348496054678,1.0,0.0,0.0,1.0,0.006957550799800301,0.034016360793809465,0.08899751992800586,11.591836734693878,29.0,268,0
V2_Frozen_Atomic75_Late30,69057,H8Eu4,12,35,0.0641368731526697,1.0,1.0,1.0,1.0,0.09829812901850395,0.04803992241593554,0.06203695208889457,37.888888888888886,238.0,238,0
V2_Frozen_Atomic75_Late30,69058,EuMnO3,5,7,0.0625104848671878,1.0,0.0,0.0,1.0,0.0010626977040343142,0.015366152375929499,0.03386626837216052,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69059,AlDy3Fe8,12,32,0.03377004277832274,1.0,0.0,0.0,1.0,0.008556187233129193,0.0676190467668712,0.13413028395976317,6.886075949367089,21.0,87,0
V2_Frozen_Atomic75_Late30,69060,As4Eu4Zn4,12,131,0.17447874551648646,0.0,0.0,1.0,1.0,0.18331175683012577,0.15782174765967308,0.27600101061095067,7.8059701492537314,21.0,178,0
V2_Frozen_Atomic75_Late30,69061,Eu6P2Pt,9,17,-0.05781405776258808,1.0,1.0,1.0,1.0,0.0031407221783286334,0.02969218469597197,0.07970127133674405,7.246913580246914,17.0,111,0
V2_Frozen_Atomic75_Late30,69062,AlFe7,8,20,0.008966217407227361,1.0,1.0,1.0,1.0,0.008864599950504908,0.05015671509577034,0.170050356247072,6.208955223880597,15.0,188,0
V2_Frozen_Atomic75_Late30,69063,Eu,1,6,0.03602950255615234,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.367647058823529,10.0,47,0
V3_AnchorK16,69000,HFe3La2O12V2,20,125,0.19152471859961828,0.0,0.0,1.0,1.0,0.056933378464673105,0.40620534499435995,0.9648099365599757,6.717948717948718,16.0,16,22
V3_AnchorK16,69001,EuNi4Zn,6,7,0.06320998613281237,1.0,1.0,1.0,1.0,0.0015228189878345082,0.015977509741105723,0.02107273858966129,14.909090909090908,16.0,16,39
V3_AnchorK16,69002,EuGdPdZn,4,14,0.0938036568530265,1.0,1.0,1.0,1.0,0.002091182074591238,0.012722304676310803,0.018915238558019826,15.69047619047619,16.0,16,41
V3_AnchorK16,69003,H8Co2Eu2,12,13,-0.0030498056884784575,1.0,1.0,1.0,1.0,0.00847246162048933,0.042029591918452035,0.1106005555100796,6.0344827586206895,16.0,16,21
V3_AnchorK16,69004,H2Fe2Ni2,6,14,0.07710073597330869,1.0,1.0,1.0,1.0,0.0702717484147948,0.12775946753990444,0.2095207648042191,9.014705882352942,16.0,16,27
V3_AnchorK16,69005,Co3Fe5P4,12,33,0.034006472552083444,1.0,1.0,1.0,1.0,0.015341623573102236,0.17886146073995787,0.3991642637646728,5.01123595505618,16.0,16,16
V3_AnchorK16,69006,Fe7S,8,98,0.18862836200927724,0.0,0.0,1.0,1.0,0.7275793381823514,0.10694664623812776,0.1811345536503734,9.596774193548388,16.0,16,32
V3_AnchorK16,69007,Eu2Fe4Gd2O12,20,255,0.1238105222747432,0.0,0.0,1.0,1.0,0.06730262306063249,0.19240685018244813,0.435857920752857,8.914285714285715,16.0,16,28
