method,baseline,seed,metric,value,baseline_value,paired_delta
B2_V2_Global50,B0_C0,65013,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65013,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65013,rmsd,0.013895612634186231,0.019026720329645357,-0.005131107695459125
B2_V2_Global50,B0_C0,65013,pre_relaxation_max_force,0.0754270851612091,0.07146461308002472,0.003962472081184387
B2_V2_Global50,B0_C0,65014,e_hull,0.09813744953150128,0.0714392717360921,0.026698177795409173
B2_V2_Global50,B0_C0,65014,stable,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65014,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65014,novel,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65014,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65014,rmsd,0.0008560146157154293,0.002064414494896734,-0.0012083998791813048
B2_V2_Global50,B0_C0,65014,pre_relaxation_max_force,0.0055292388424277306,0.00990274827927351,-0.004373509436845779
B2_V2_Global50,B0_C0,65015,e_hull,0.13921357310302618,0.05086550237792942,0.08834807072509676
B2_V2_Global50,B0_C0,65015,stable,0.0,1.0,-1.0
B2_V2_Global50,B0_C0,65015,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65015,novel,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65015,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65015,rmsd,0.008607385956569652,0.0020346024485453657,0.006572783508024286
B2_V2_Global50,B0_C0,65015,pre_relaxation_max_force,0.09557801485061646,0.036920465528964996,0.05865754932165146
B3_V2_Global75_Late20,B0_C0,65000,e_hull,0.10054498222900321,0.2182105039063602,-0.117665521677357
B3_V2_Global75_Late20,B0_C0,65000,stable,0.0,0.0,0.0
B3_V2_Global75_Late20,B0_C0,65000,nus,0.0,0.0,0.0
B3_V2_Global75_Late20,B0_C0,65000,novel,0.0,1.0,-1.0
B3_V2_Global75_Late20,B0_C0,65000,unique,1.0,1.0,0.0
B3_V2_Global75_Late20,B0_C0,65000,rmsd,0.016892063180437615,0.06397255339087012,-0.0470804902104325
