method,baseline,seed,metric,value,baseline_value,paired_delta
C0,C0,66035,nus,0.0,0.0,0.0
C0,C0,66035,novel,1.0,1.0,0.0
C0,C0,66035,unique,1.0,1.0,0.0
C0,C0,66035,rmsd,0.5987360133149833,0.5987360133149833,0.0
C0,C0,66035,pre_relaxation_max_force,0.7868689298629761,0.7868689298629761,0.0
C0,C0,66036,e_hull,0.009373737678222582,0.009373737678222582,0.0
C0,C0,66036,stable,1.0,1.0,0.0
C0,C0,66036,nus,1.0,1.0,0.0
C0,C0,66036,novel,1.0,1.0,0.0
C0,C0,66036,unique,1.0,1.0,0.0
C0,C0,66036,rmsd,0.029910411394448673,0.029910411394448673,0.0
C0,C0,66036,pre_relaxation_max_force,0.035139817744493484,0.035139817744493484,0.0
C0,C0,66037,e_hull,0.07711136446720523,0.07711136446720523,0.0
C0,C0,66037,stable,1.0,1.0,0.0
C0,C0,66037,nus,1.0,1.0,0.0
C0,C0,66037,novel,1.0,1.0,0.0
C0,C0,66037,unique,1.0,1.0,0.0
C0,C0,66037,rmsd,0.02754346422715552,0.02754346422715552,0.0
C0,C0,66037,pre_relaxation_max_force,0.17779125273227692,0.17779125273227692,0.0
C0,C0,66038,e_hull,0.07212748288574211,0.07212748288574211,0.0
C0,C0,66038,stable,1.0,1.0,0.0
C0,C0,66038,nus,1.0,1.0,0.0
C0,C0,66038,novel,1.0,1.0,0.0
C0,C0,66038,unique,1.0,1.0,0.0
C0,C0,66038,rmsd,0.013817141520431444,0.013817141520431444,0.0
C0,C0,66038,pre_relaxation_max_force,0.21643872559070587,0.21643872559070587,0.0
C0,C0,66039,e_hull,0.1263515681901044,0.1263515681901044,0.0
C0,C0,66039,stable,0.0,0.0,0.0
C0,C0,66039,nus,0.0,0.0,0.0
C0,C0,66039,novel,1.0,1.0,0.0
C0,C0,66039,unique,1.0,1.0,0.0
C0,C0,66039,rmsd,0.11725361391740349,0.11725361391740349,0.0
C0,C0,66039,pre_relaxation_max_force,0.19697979092597961,0.19697979092597961,0.0
C0,C0,66040,e_hull,0.06972102452026441,0.06972102452026441,0.0
C0,C0,66040,stable,1.0,1.0,0.0
C0,C0,66040,nus,0.0,0.0,0.0
C0,C0,66040,novel,0.0,0.0,0.0
C0,C0,66040,unique,1.0,1.0,0.0
C0,C0,66040,rmsd,0.004223342965979895,0.004223342965979895,0.0
C0,C0,66040,pre_relaxation_max_force,0.12719938158988953,0.12719938158988953,0.0
C0,C0,66041,e_hull,0.20127325643066385,0.20127325643066385,0.0
C0,C0,66041,stable,0.0,0.0,0.0
C0,C0,66041,nus,0.0,0.0,0.0
C0,C0,66041,novel,1.0,1.0,0.0
C0,C0,66041,unique,1.0,1.0,0.0
C0,C0,66041,rmsd,0.00367933469414861,0.00367933469414861,0.0
C0,C0,66041,pre_relaxation_max_force,0.16281259059906006,0.16281259059906006,0.0
C0,C0,66042,e_hull,0.05316562097460853,0.05316562097460853,0.0
C0,C0,66042,stable,1.0,1.0,0.0
C0,C0,66042,nus,1.0,1.0,0.0
C0,C0,66042,novel,1.0,1.0,0.0
C0,C0,66042,unique,1.0,1.0,0.0
C0,C0,66042,rmsd,0.004600982073525802,0.004600982073525802,0.0
C0,C0,66042,pre_relaxation_max_force,0.07873105257749557,0.07873105257749557,0.0
C0,C0,66043,e_hull,0.3366130872851585,0.3366130872851585,0.0
C0,C0,66043,stable,0.0,0.0,0.0
C0,C0,66043,nus,0.0,0.0,0.0
C0,C0,66043,novel,1.0,1.0,0.0
C0,C0,66043,unique,1.0,1.0,0.0
C0,C0,66043,rmsd,0.041054931116515446,0.041054931116515446,0.0
C0,C0,66043,pre_relaxation_max_force,0.27401530742645264,0.27401530742645264,0.0
C0,C0,66044,e_hull,0.006641542519522758,0.006641542519522758,0.0
C0,C0,66044,stable,1.0,1.0,0.0
C0,C0,66044,nus,0.0,0.0,0.0
C0,C0,66044,novel,0.0,0.0,0.0
C0,C0,66044,unique,1.0,1.0,0.0
C0,C0,66044,rmsd,0.005596797762519429,0.005596797762519429,0.0
C0,C0,66044,pre_relaxation_max_force,0.3058345317840576,0.3058345317840576,0.0
C0,C0,66045,e_hull,0.0646851368652337,0.0646851368652337,0.0
C0,C0,66045,stable,1.0,1.0,0.0
C0,C0,66045,nus,0.0,0.0,0.0
C0,C0,66045,novel,0.0,0.0,0.0
C0,C0,66045,unique,1.0,1.0,0.0
C0,C0,66045,rmsd,0.011315298905239269,0.011315298905239269,0.0
C0,C0,66045,pre_relaxation_max_force,0.07513455301523209,0.07513455301523209,0.0
C0,C0,66046,e_hull,0.0773813441927107,0.0773813441927107,0.0
C0,C0,66046,stable,1.0,1.0,0.0
C0,C0,66046,nus,1.0,1.0,0.0
C0,C0,66046,novel,1.0,1.0,0.0
C0,C0,66046,unique,1.0,1.0,0.0
C0,C0,66046,rmsd,0.02237374563723642,0.02237374563723642,0.0
C0,C0,66046,pre_relaxation_max_force,0.359048992395401,0.359048992395401,0.0
C0,C0,66047,e_hull,0.08834077427625875,0.08834077427625875,0.0
C0,C0,66047,stable,1.0,1.0,0.0
C0,C0,66047,nus,1.0,1.0,0.0
C0,C0,66047,novel,1.0,1.0,0.0
C0,C0,66047,unique,1.0,1.0,0.0
C0,C0,66047,rmsd,0.017021520640506157,0.017021520640506157,0.0
C0,C0,66047,pre_relaxation_max_force,0.06353714317083359,0.06353714317083359,0.0
C0,C0,66048,e_hull,-0.0921076482285148,-0.0921076482285148,0.0
C0,C0,66048,stable,1.0,1.0,0.0
C0,C0,66048,nus,0.0,0.0,0.0
C0,C0,66048,novel,0.0,0.0,0.0
C0,C0,66048,unique,1.0,1.0,0.0
C0,C0,66048,rmsd,0.013130477248735931,0.013130477248735931,0.0
C0,C0,66048,pre_relaxation_max_force,0.3303970992565155,0.3303970992565155,0.0
C0,C0,66049,e_hull,0.04487961424837117,0.04487961424837117,0.0
C0,C0,66049,stable,1.0,1.0,0.0
C0,C0,66049,nus,1.0,1.0,0.0
C0,C0,66049,novel,1.0,1.0,0.0
C0,C0,66049,unique,1.0,1.0,0.0
