method,baseline,metric,n_paired,mean,median,std,baseline_mean,paired_delta_mean,paired_delta_median,paired_delta_std,paired_delta_bootstrap95_low,paired_delta_bootstrap95_high,bootstrap_samples,bootstrap_seed
B4a_V2_Atomic75_Late30,B0_C0,novel,16,0.75,1.0,0.4472135954999579,0.6875,0.0625,0.0,0.5737304826019501,-0.1875,0.3125,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,rmsd,16,0.05443177344907782,0.03270353910584915,0.08153350567062516,0.08891314160902569,-0.034481368159947866,-0.005936738595694737,0.1884596695455088,-0.13026122694070397,0.044827831324635706,10000,20260905
B4a_V2_Atomic75_Late30,B0_C0,pre_relaxation_max_force,16,0.41700264252722263,0.19512216746807098,0.4591243848540664,0.49401790311094373,-0.0770152605837211,0.04640342528000474,0.9044773193678786,-0.5681795676006004,0.27959790697350395,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,e_hull,16,0.11729129437574753,0.10995926536543887,0.07592059381957811,0.12366424429291395,-0.006372949917166415,-0.020689089878980216,0.0903968397282667,-0.049071089790964084,0.03789527031400357,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,stable,16,0.4375,0.0,0.51234753829798,0.5,-0.0625,0.0,0.6800735254367721,-0.375,0.25,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,nus,16,0.25,0.0,0.4472135954999579,0.1875,0.0625,0.0,0.5737304826019501,-0.1875,0.3125,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,novel,16,0.75,1.0,0.4472135954999579,0.6875,0.0625,0.0,0.5737304826019501,-0.1875,0.3125,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,unique,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,rmsd,16,0.058715692652254584,0.015698285241068727,0.09735580434999527,0.08891314160902569,-0.03019744895677111,-0.009458714392514864,0.14727982970260792,-0.10355877585220016,0.036877286781014214,10000,20260905
B5_V2_EarlyReuse20_Field75_Late30,B0_C0,pre_relaxation_max_force,16,0.3716603868815582,0.16131040453910828,0.3631086901580393,0.49401790311094373,-0.12235751622938551,-0.008582083974033594,0.6801902109227578,-0.48766597179856036,0.13379498403082832,10000,20260905
