method,seed,success,formula,num_atoms,guidance_schedule,coverage_target,checkpoint_sha256,adapter_checkpoint_sha256,timing_includes_teacher_recording,failure_return_code,failure_log_path,run_summary_path,structure_path,elapsed_seconds,time_per_sample,samples_per_hour,mattergen_score_calls,saved_score_calls,adapter_calls,adapter_accept_calls,adapter_acceptance_overall,adapter_acceptance_eligible,fallback_calls,adapter_coverage,second_forward_avoidance,forward_reduction,peak_allocated_bytes,adapter_seconds,exact_fallback_seconds,dagger_teacher_seconds,dagger_teacher_calls,late_exact_calls,early_reuse_calls,field_risk_fallback_calls
C0,66030,True,LiFe7O7F3,18,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66030/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66030/generated_crystals.extxyz,112.89896325091831,112.89896325091831,31.886918146440266,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359276544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66031,True,Mn6O5F7,18,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66031/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66031/generated_crystals.extxyz,113.74482324393466,113.74482324393466,31.64979202859649,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362205696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66032,True,Eu7Y,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66032/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66032/generated_crystals.extxyz,114.11649756901897,114.11649756901897,31.54670951781252,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288819712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66033,True,MnFe3Rh,5,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66033/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66033/generated_crystals.extxyz,113.63316969503649,113.63316969503649,31.680890444766398,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265241088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66034,True,Eu3BO5,18,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66034/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66034/generated_crystals.extxyz,119.36960028414614,119.36960028414614,30.15843222588161,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360824832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66035,True,Eu6PO4,11,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66035/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66035/generated_crystals.extxyz,117.66336385696195,117.66336385696195,30.595759648486318,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308454912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66036,True,Eu3Pt,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66036/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66036/generated_crystals.extxyz,112.7372489280533,112.7372489280533,31.93265787687838,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287026688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66037,True,Eu3(MnGe)4,11,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66037/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66037/generated_crystals.extxyz,115.29221038799733,115.29221038799733,31.22500633724326,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307507200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66038,True,Li2TmMn3(FeO4)2,16,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66038/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66038/generated_crystals.extxyz,115.33723401813768,115.33723401813768,31.212817184725203,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352584704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66039,True,Li2EuAs,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66039/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66039/generated_crystals.extxyz,121.3349993340671,121.3349993340671,29.669922279294326,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318070272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
