trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change_vs_first,rmsd_relative_change_vs_first,stable_change_vs_first,nus_change_vs_first
918,baseline_first,0.1428259017141178,0.0472398786749294,0.421875,0.21875,0.859375,1.0,0.765625,0.96875,1.0,0.0,0.0,0.0,0.0
918,oracle_min_ehull,0.061977336257132074,0.021084179794370862,0.84375,0.4375,1.0,1.0,0.578125,0.921875,1.0,-0.08084856545698572,-0.5536783669692105,0.421875,0.21875
918,oracle_min_rmsd,0.0999962684261956,0.005134631857202308,0.625,0.203125,1.0,1.0,0.515625,0.890625,1.0,-0.04282963328792219,-0.8913072598569712,0.203125,-0.015625
918,oracle_stable_quality,0.061977336257132074,0.021084179794370862,0.84375,0.4375,1.0,1.0,0.578125,0.921875,1.0,-0.08084856545698572,-0.5536783669692105,0.421875,0.21875
918,oracle_nus_quality,0.07042055192122512,0.019781020263217174,0.84375,0.6875,1.0,1.0,0.859375,0.96875,1.0,-0.07240534979289268,-0.5812643720079,0.421875,0.46875
919,baseline_first,0.13291152472282952,0.08959054055846916,0.421875,0.28125,0.859375,1.0,0.796875,0.96875,1.0,0.0,0.0,0.0,0.0
919,oracle_min_ehull,0.05452684265840072,0.0338270055807509,0.890625,0.484375,1.0,1.0,0.578125,0.9375,1.0,-0.0783846820644288,-0.6224265935902631,0.46875,0.203125
919,oracle_min_rmsd,0.09026531016953965,0.007171830539097203,0.640625,0.296875,1.0,1.0,0.578125,0.953125,1.0,-0.042646214553289874,-0.9199487971119376,0.21875,0.015625
919,oracle_stable_quality,0.05452684265840072,0.0338270055807509,0.890625,0.484375,1.0,1.0,0.578125,0.9375,1.0,-0.0783846820644288,-0.6224265935902631,0.46875,0.203125
919,oracle_nus_quality,0.0659426696268793,0.037670122155583116,0.890625,0.65625,1.0,1.0,0.765625,0.953125,1.0,-0.06696885509595023,-0.5795301387762182,0.46875,0.375
920,baseline_first,0.1290859356630913,0.040521692399783524,0.46875,0.265625,0.78125,1.0,0.75,0.9375,1.0,0.0,0.0,0.0,0.0
920,oracle_min_ehull,0.06352996828617187,0.035071714443323715,0.8125,0.34375,1.0,1.0,0.5,0.90625,1.0,-0.06555596737691942,-0.13449531926482228,0.34375,0.078125
920,oracle_min_rmsd,0.1019112807432118,0.009270301483857997,0.546875,0.203125,1.0,1.0,0.5625,0.921875,1.0,-0.027174654919879485,-0.771226201699623,0.078125,-0.0625
920,oracle_stable_quality,0.06352996828617187,0.035071714443323715,0.8125,0.34375,1.0,1.0,0.5,0.90625,1.0,-0.06555596737691942,-0.13449531926482228,0.34375,0.078125
920,oracle_nus_quality,0.07644755666966048,0.05164748013275377,0.8125,0.640625,1.0,1.0,0.828125,0.984375,1.0,-0.05263837899343081,0.274563747812016,0.34375,0.375
921,baseline_first,0.13457338487537257,0.04074223643156003,0.4375,0.234375,0.875,1.0,0.703125,0.96875,1.0,0.0,0.0,0.0,0.0
921,oracle_min_ehull,0.0565126381137145,0.04051725308726854,0.90625,0.484375,1.0,1.0,0.546875,0.9375,1.0,-0.07806074676165807,-0.005522115720609122,0.46875,0.25
921,oracle_min_rmsd,0.09957287662931474,0.00731462040402014,0.609375,0.234375,1.0,1.0,0.5,0.9375,1.0,-0.035000508246057827,-0.8204659084852288,0.171875,0.0
921,oracle_stable_quality,0.0565126381137145,0.04051725308726854,0.90625,0.484375,1.0,1.0,0.546875,0.9375,1.0,-0.07806074676165807,-0.005522115720609122,0.46875,0.25
921,oracle_nus_quality,0.06710410162731956,0.036204982313742015,0.90625,0.671875,1.0,1.0,0.765625,0.96875,1.0,-0.06746928324805301,-0.11136487623696911,0.46875,0.4375
922,baseline_first,0.13553094366710977,0.08038041110624336,0.4375,0.296875,0.890625,1.0,0.796875,0.953125,1.0,0.0,0.0,0.0,0.0
