seed,gate_confidence,gate_on,c0_max_force,e3g_max_force,force_gain,spearman_rho,spearman_p
40134,0.2500983004282822,False,0.297947907480187,0.297948147813795,-2.403336079592755e-07,0.37542200732433045,5.440778131205153e-10
40135,0.9636586562364668,True,0.0573972143009129,0.0558799370128948,0.0015172772880180999,0.37542200732433045,5.440778131205153e-10
40136,0.1400016856039721,False,0.1356818747966084,0.135681997701841,-1.2290523260238828e-07,0.37542200732433045,5.440778131205153e-10
40137,0.0261160941830266,False,0.0070951678860611,0.0070949801346371,1.877514239998629e-07,0.37542200732433045,5.440778131205153e-10
40138,0.6607550001667667,True,0.2842042855316821,0.2989829259896193,-0.014778640457937198,0.37542200732433045,5.440778131205153e-10
40139,0.9548717513745848,True,0.6242443422556185,0.3981012544126789,0.22614308784293963,0.37542200732433045,5.440778131205153e-10
40140,0.8549617742936402,True,0.0944316549284387,0.0664678483442536,0.02796380658418511,0.37542200732433045,5.440778131205153e-10
40141,0.7712408392428879,True,0.2125005815302637,0.1896818443159953,0.022818737214268386,0.37542200732433045,5.440778131205153e-10
40142,0.0150769002680622,False,0.0026343685212157,0.0026342739444343,9.457678139994721e-08,0.37542200732433045,5.440778131205153e-10
40143,0.844122072681232,True,0.1345647376332044,0.1045438446302089,0.0300208930029955,0.37542200732433045,5.440778131205153e-10
40144,0.2419437039274392,False,0.7270432766025782,0.72704230908571,9.675168681777535e-07,0.37542200732433045,5.440778131205153e-10
40145,0.7648529870888291,True,0.3374563567920655,0.2223119625701237,0.11514439422194178,0.37542200732433045,5.440778131205153e-10
40146,0.9366896219092544,True,0.0176567647684554,0.0140831777890038,0.003573586979451598,0.37542200732433045,5.440778131205153e-10
40147,0.2730201907838384,False,1.338167520278841,1.3381671745605324,3.457183086474913e-07,0.37542200732433045,5.440778131205153e-10
40148,0.951207805013289,True,0.3953702131717579,0.1851336583728479,0.21023655479891,0.37542200732433045,5.440778131205153e-10
40149,0.6750364885397,True,0.0201506136693596,0.0250482405050043,-0.004897626835644701,0.37542200732433045,5.440778131205153e-10
40150,0.6340508263038225,True,0.0864254568506804,0.085600343002275,0.0008251138484054038,0.37542200732433045,5.440778131205153e-10
40151,0.9838794422223096,True,0.0423239061063491,0.0295737398406432,0.012750166265705899,0.37542200732433045,5.440778131205153e-10
40152,0.0544870347524071,False,0.0719185305470321,0.0719183830801824,1.474668496898035e-07,0.37542200732433045,5.440778131205153e-10
40153,0.0160224760060686,False,0.0169100650027607,0.0169101317824322,-6.677967150092723e-08,0.37542200732433045,5.440778131205153e-10
40154,0.78924745492039,True,0.2575569802644516,0.2455301581184275,0.01202682214602413,0.37542200732433045,5.440778131205153e-10
40155,0.3372139837178285,False,0.0476337391048829,0.0476341439026546,-4.0479777169838416e-07,0.37542200732433045,5.440778131205153e-10
40156,0.9960673538392256,True,0.7107583061360304,0.3610366840636843,0.34972162207234614,0.37542200732433045,5.440778131205153e-10
40157,0.9213664177973802,True,0.5097196895177252,0.3535434333231445,0.1561762561945807,0.37542200732433045,5.440778131205153e-10
40158,0.9866351953856272,True,8.082431505511433,2.659138663471812,5.423292842039621,0.37542200732433045,5.440778131205153e-10
40159,0.7103783574629142,True,0.198314720269681,0.1351863780184665,0.0631283422512145,0.37542200732433045,5.440778131205153e-10
40160,0.3822404687206022,False,0.7101405823414931,0.7101410927675443,-5.104260512034386e-07,0.37542200732433045,5.440778131205153e-10
40161,0.9867358343080171,True,2.333438798264488,1.3418615841207218,0.9915772141437662,0.37542200732433045,5.440778131205153e-10
