seed,c0_max_force,e3a_max_force,e3g_max_force,gate_on,exact_fallback
40182,0.1136389786291342,0.10581020718286,0.1058099182497823,True,False
40183,1.6314252139300598,0.6069699917242731,1.6314266554132304,False,True
40184,0.2907925800057245,0.291524568673738,0.2907929069921777,False,True
40185,0.3927392806526482,0.226249974796957,0.2262501360718746,True,False
40186,0.2186719857967839,0.1173985154058284,0.1174266427773993,True,False
40187,0.165928725341804,0.1153784621818445,0.1153786869522027,True,False
40188,0.0697060698185726,0.0702114035384611,0.0702111171307173,True,False
40189,0.0921662097700588,0.090150510768167,0.092166219062304,False,True
40190,0.4573207831119989,0.0775473314861423,0.4573210408582715,False,True
40191,0.0954920106289924,0.2123337144767498,0.2123324539631785,True,False
40192,0.0648762672325729,0.0324087425540892,0.0324083179644348,True,False
40193,0.0041981822169357,0.0036559323162954,0.0036553918264313,True,False
40194,0.112708508662042,0.1029436768787648,0.1127085535401802,False,True
40195,0.043688945778222,0.0838105802460346,0.083810438614067,True,False
40196,0.1845670181405621,0.1302436830821037,0.1845673621388004,False,True
40197,0.3685688970531899,0.3812648851229735,0.3812639168520069,True,False
40198,0.5252779318975317,0.5417105291627993,0.5417144048693858,True,False
40199,0.0703834206130864,0.0593539413074126,0.0593538869327896,True,False
40200,0.0259918880034669,0.0619431699649006,0.0259916786279258,False,True
40201,0.4369864363771631,0.3598878456254707,0.3598938188890174,True,False
40202,0.2253209360085554,0.240205341814149,0.2402032136261144,True,False
40203,0.4977922532585501,0.2832983266705908,0.4977916823072374,False,True
40204,0.1288898388526108,0.114225404785537,0.1288899567794347,False,True
40205,0.5088491151409669,0.483749567233543,0.4837480056431431,True,False
