method,seed,formula,num_atoms,energy_ev_atom,energy_total_ev,mean_force_ev_a,maxF_ev_a,evaluator,surrogate_property_eval,dft_verified
C0,740096,Gd3,3,-13.896297454833984,-41.68889236450195,0.23900282641636605,0.3584711994690007,CHGNet_0.3.0,True,False
C0,740097,Gd4,4,-14.046553611755371,-56.186214447021484,0.011688339008393967,0.016727878892336998,CHGNet_0.3.0,True,False
C0,740098,Co2Fe6,8,-8.026017189025879,-64.20813751220703,0.047907706971176967,0.0830980069523206,CHGNet_0.3.0,True,False
C0,740099,Gd12,12,-14.045008659362793,-168.54010391235352,0.021136179823326315,0.03643295368642732,CHGNet_0.3.0,True,False
C0,740100,Co6Fe4,10,-7.550992488861084,-75.50992488861084,0.03576096520838642,0.07704340049996855,CHGNet_0.3.0,True,False
C0,740101,Co3Fe6,9,-7.908307075500488,-71.1747636795044,0.045950812715375454,0.09754384153251837,CHGNet_0.3.0,True,False
C0,740102,Co2Fe6,8,-8.040120124816895,-64.32096099853516,0.0067202934307730566,0.010623563050985257,CHGNet_0.3.0,True,False
C0,740103,Co4Fe8,12,-7.918968200683594,-95.02761840820312,0.040755094852763095,0.06999012804079373,CHGNet_0.3.0,True,False
C0,740104,Gd6N4,10,-13.236930847167969,-132.3693084716797,0.23486250941308948,0.32265208991873595,CHGNet_0.3.0,True,False
C0,740105,Co2Fe5,7,-7.975147247314453,-55.82603073120117,0.0348973228441159,0.05342458722180839,CHGNet_0.3.0,True,False
C0,740106,Co3Fe4,7,-7.780069351196289,-54.46048545837402,0.03367876224415473,0.06536488951390432,CHGNet_0.3.0,True,False
C0,740107,Co3Fe8,11,-7.710534572601318,-84.8158802986145,0.5472912545971776,2.133521370745076,CHGNet_0.3.0,True,False
C0,740108,Fe6Gd3,9,-10.213467597961426,-91.92120838165283,0.09381044609646112,0.15282241017579196,CHGNet_0.3.0,True,False
C0,740109,CoFe14,15,-8.268725395202637,-124.03088092803955,0.03914245192621257,0.06971502078292718,CHGNet_0.3.0,True,False
C0,740110,Co2Fe8,10,-8.097105026245117,-80.97105026245117,0.03935540675591799,0.08096905353955881,CHGNet_0.3.0,True,False
C0,740111,Gd4,4,-14.046764373779297,-56.18705749511719,0.008222085207453886,0.010908254632264875,CHGNet_0.3.0,True,False
C0,740112,F3Fe8O7,18,-7.598968982696533,-136.7814416885376,0.39797387716903276,0.9460926779976113,CHGNet_0.3.0,True,False
C0,740113,Gd4,4,-14.046342849731445,-56.18537139892578,0.008890265091911707,0.013413885791412353,CHGNet_0.3.0,True,False
C0,740114,Co4Fe12,16,-8.024840354919434,-128.39744567871094,0.034003623844221016,0.10461507986025288,CHGNet_0.3.0,True,False
C0,740115,Co4Fe4,8,-7.684704303741455,-61.47763442993164,0.03731671709893692,0.060519566255371214,CHGNet_0.3.0,True,False
C0,740116,Co4Fe4,8,-7.694112777709961,-61.55290222167969,0.0332516944861673,0.1092684264281735,CHGNet_0.3.0,True,False
C0,740117,Co3Fe9,12,-8.021300315856934,-96.2556037902832,0.05270860788499701,0.1109280193383181,CHGNet_0.3.0,True,False
C0,740118,Gd3Li,4,-10.876469612121582,-43.50587844848633,0.08492061206793929,0.15696888074528031,CHGNet_0.3.0,True,False
C0,740119,Co3Fe3,6,-7.7059807777404785,-46.23588466644287,0.034856413903304885,0.06185871597068636,CHGNet_0.3.0,True,False
C0,740120,Fe4,4,-8.356405258178711,-33.425621032714844,0.025389480362389874,0.034107413471570966,CHGNet_0.3.0,True,False
C0,740121,Co5Fe5,10,-7.6899309158325195,-76.8993091583252,0.03306758418913876,0.05311072797668794,CHGNet_0.3.0,True,False
C0,740122,F2Fe9O7,18,-7.709850788116455,-138.7773141860962,0.29765736654057506,0.7274654863778235,CHGNet_0.3.0,True,False
C0,740123,Co2Fe11,13,-8.155091285705566,-106.01618671417236,0.05063479610653533,0.0887331208328479,CHGNet_0.3.0,True,False
C0,740124,Eu3Gd5OSn2,11,-11.266563415527344,-123.93219757080078,0.17004146583624288,0.30708459018340084,CHGNet_0.3.0,True,False
C0,740125,CFe17Gd2,20,-9.035598754882812,-180.71197509765625,0.25919127805475417,1.394768134933733,CHGNet_0.3.0,True,False
C0,740126,Co3Fe3,6,-7.677314758300781,-46.06388854980469,0.06463375645860947,0.13767617208765606,CHGNet_0.3.0,True,False
C0,740127,Co3Fe13,16,-8.109146118164062,-129.746337890625,0.03341162978974717,0.060070665740007356,CHGNet_0.3.0,True,False
C0,740128,Gd9N6,15,-13.207759857177734,-198.11639785766602,0.27551657850855626,0.43439749938074446,CHGNet_0.3.0,True,False
C0,740129,Co5Fe7,12,-7.806717872619629,-93.68061447143555,0.04901229608639823,0.1084739414742424,CHGNet_0.3.0,True,False
C0,740130,Co2Fe4,6,-7.904291152954102,-47.42574691772461,0.061816552893043046,0.0973856148097629,CHGNet_0.3.0,True,False
C0,740131,Gd8,8,-14.001111030578613,-112.0088882446289,0.011405140775029127,0.020555884886362837,CHGNet_0.3.0,True,False
C0,740132,Co3Fe3,6,-7.6799774169921875,-46.079864501953125,0.05363680456893316,0.09659615066933613,CHGNet_0.3.0,True,False
C0,740133,Co4Fe3,7,-7.608120441436768,-53.25684309005737,0.0583610921740556,0.12504877656139674,CHGNet_0.3.0,True,False
C0,740134,CoFe7,8,-8.191868782043457,-65.53495025634766,0.04871384800950429,0.10608232341523446,CHGNet_0.3.0,True,False
C0,740135,H3Fe13,16,-7.425464630126953,-118.80743408203125,0.22196482196505818,0.5286612285683882,CHGNet_0.3.0,True,False
C0,740136,Gd15,15,-14.046972274780273,-210.7045841217041,0.02316302775490764,0.0331000365457867,CHGNet_0.3.0,True,False
C0,740137,Co6Fe8Gd4,18,-9.216146469116211,-165.8906364440918,0.11163901228293198,0.49239357369117936,CHGNet_0.3.0,True,False
C0,740138,CH2Fe7,10,-7.383374214172363,-73.83374214172363,0.13968492030844382,0.4016411023027794,CHGNet_0.3.0,True,False
C0,740139,Gd8N3,11,-13.629469871520996,-149.92416858673096,0.20128625181940427,0.3370845809753661,CHGNet_0.3.0,True,False
C0,740140,HCo2Fe7,10,-7.599536418914795,-75.99536418914795,0.08064797098672855,0.17785271877979575,CHGNet_0.3.0,True,False
C0,740141,Co5Fe11,16,-7.938146591186523,-127.01034545898438,0.05318686144697714,0.08931893157124278,CHGNet_0.3.0,True,False
C0,740142,Fe6,6,-8.355473518371582,-50.13284111022949,0.01070873672439729,0.01694719562001942,CHGNet_0.3.0,True,False
C0,740143,Co5Fe7,12,-7.808449745178223,-93.70139694213867,0.03567562274615912,0.07169236600564492,CHGNet_0.3.0,True,False
C0,740144,CoFe15,16,-8.274057388305664,-132.38491821289062,0.005119718158348716,0.013878071936248067,CHGNet_0.3.0,True,False
C0,740145,Fe12,12,-8.356413841247559,-100.2769660949707,0.017186242932900355,0.025664531376367254,CHGNet_0.3.0,True,False
C0,740146,Co2Fe10,12,-8.136101722717285,-97.63322067260742,0.027882482926099697,0.060146441192382924,CHGNet_0.3.0,True,False
C0,740147,Co4Fe6,10,-7.82995080947876,-78.2995080947876,0.036839866818617006,0.055958098527947,CHGNet_0.3.0,True,False
C0,740148,Fe17N3,20,-8.445943832397461,-168.91887664794922,0.1808667208133546,0.3966608282577708,CHGNet_0.3.0,True,False
C0,740149,CoGd2,3,-11.915834426879883,-35.74750328063965,0.020806829390135156,0.030160966990793178,CHGNet_0.3.0,True,False
C0,740150,Co5Fe7,12,-7.803808212280273,-93.64569854736328,0.06337858975811912,0.12315661225426236,CHGNet_0.3.0,True,False
C0,740151,Fe10O8,18,-7.925594806671143,-142.66070652008057,0.09604325640775473,0.21890852425128,CHGNet_0.3.0,True,False
C0,740152,Co4Fe8,12,-7.915243148803711,-94.98291778564453,0.046114237096762746,0.08229036702761681,CHGNet_0.3.0,True,False
C0,740153,Co3Fe7,10,-7.9598517417907715,-79.59851741790771,0.048702203688572934,0.09927225180734238,CHGNet_0.3.0,True,False
C0,740154,CFeGd3,5,-11.83098316192627,-59.15491580963135,0.011451175737161664,0.018454058938148568,CHGNet_0.3.0,True,False
C0,740155,Fe3,3,-8.356666564941406,-25.06999969482422,0.02245639483754271,0.03234353258332805,CHGNet_0.3.0,True,False
C0,740156,HCo6Fe5,12,-7.280785083770752,-87.36942100524902,0.16259341166473085,0.2798595409333909,CHGNet_0.3.0,True,False
C0,740157,Co4Fe8,12,-7.917374610900879,-95.00849533081055,0.06535270704485342,0.1276008753830555,CHGNet_0.3.0,True,False
C0,740158,Fe8,8,-8.35657024383545,-66.8525619506836,0.013803118947062413,0.02039980217914719,CHGNet_0.3.0,True,False
C0,740159,Eu2F2Fe2O4,10,-8.730744361877441,-87.30744361877441,0.14698396536577762,0.33169861816688917,CHGNet_0.3.0,True,False
