method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,e_hull_ev_per_atom,stable,nus,novel,unique,mag_density_a3,mag_absolute_error_a3,mag_hit,valid,minimum_periodic_distance_a,generation_seconds,end_to_end_generation_seconds,mattergen_score_calls,guidance_calls,guidance_accepted,guidance_fallbacks,guidance_seconds,relaxation_steps,surrogate_property_eval,dft_verified
SHARED_EMA,746004,Eu2ErPb,4,0.005222275843040082,0.0027876452070543538,0.0013141780131831287,0.10786003923665444,False,False,False,True,0.10886328368995114,0.008863283689951137,True,True,3.4853225274858146,84.28817555500427,84.28817555500427,2000,0,0,0,0.0,2,True,False
SHARED_EMA,746005,NaEu2Rh,4,0.06315737991463309,0.03159609614090713,0.0013031033278634641,0.059566413012948516,True,False,False,True,0.11297111367057487,0.012971113670574866,False,True,3.0265012392752686,83.0375001700013,83.0375001700013,2000,0,0,0,0.0,6,True,False
SHARED_EMA,746006,Eu6Ge2P7,15,0.47050969260235,0.15985602948861885,0.025439508116272037,-0.041221668401041356,True,True,True,True,0.11010584773381542,0.010105847733815412,False,True,2.357298742808888,84.46415807498852,84.46415807498852,2000,0,0,0,0.0,36,True,False
SHARED_EMA,746007,MnBe2Co,8,0.2274023949794738,0.11039200410573333,0.01927493804174809,0.1573724539599608,False,False,False,True,0.07585406830407065,0.02414593169592935,False,True,2.28083228471436,83.63240508799208,83.63240508799208,2000,0,0,0,0.0,31,True,False
NO_CLIP,746000,Co3Pt,8,0.025296188834561622,0.017066611700204792,0.002026418870043132,0.1369388949621584,False,False,True,True,0.10951808356597119,0.009518083565971183,True,True,2.3300436068925015,83.75202698999783,83.75202698999783,2000,0,0,0,0.0,7,True,False
NO_CLIP,746001,Eu2IrO5,8,0.20822856555494015,0.1049613867615328,0.006314315527488202,0.07055543099771988,True,True,True,True,0.11380892787216057,0.013808927872160565,False,True,1.8818746982991723,85.20465584500926,85.20465584500926,2000,0,0,0,0.0,26,True,False
NO_CLIP,746002,LiCaEu4MnFeO8,16,0.5660680327775047,0.2951138906492196,0.053145313556940715,0.09743428794352305,True,True,True,True,0.14788942960257323,0.047889429602573225,False,True,1.8965529054803414,91.48610933194868,91.48610933194868,2000,0,0,0,0.0,63,True,False
NO_CLIP,746003,LiEu2In,4,0.0052680416240288,0.0028905674117279487,0.0012272007630171058,0.027353683220307623,True,False,False,True,0.11053179637689965,0.010531796376899646,False,True,3.435870565167428,96.26451075501973,96.26451075501973,2000,0,0,0,0.0,1,True,False
NO_CLIP,746004,Fe2CoIr,4,0.01290929812747773,0.010427515646097138,0.000654582197057903,0.07869838810953844,True,False,False,True,0.1477990768523711,0.047799076852371086,False,True,2.555363190603981,84.70268824102823,84.70268824102823,2000,0,0,0,0.0,10,True,False
NO_CLIP,746005,EuCd,4,0.06349989463310392,0.038411512746525225,0.0008259243816351643,0.011456784812011733,True,False,False,True,0.11070514457982093,0.010705144579820927,False,True,3.414960945219244,83.18420373997651,83.18420373997651,2000,0,0,0,0.0,6,True,False
NO_CLIP,746006,Eu5Mn(CdP2)3,15,0.3957771515542536,0.14370082277816332,0.06457133781281546,0.1381646777599439,False,False,True,True,0.10042631489666215,0.0004263148966621444,True,True,2.524468952719739,84.19808715803083,84.19808715803083,2000,0,0,0,0.0,62,True,False
NO_CLIP,746007,Mn2(BeFe)3,8,0.2892371506230984,0.13527963040895236,0.01952863780262067,0.12644377110595606,False,False,True,True,0.11657586290886363,0.01657586290886362,False,True,2.3638474328074985,83.6044847459998,83.6044847459998,2000,0,0,0,0.0,24,True,False
