comparison,source_method,seed,field,sampling_progress,forward_diffusion_t,stage,rms_diff,relative_l2_diff,cosine_to_c0,c0_rms,candidate_rms
GBSA-TCL_vs_C0,TCL,85018,pos,0.25,0.75,early_0_30,0.0008428177407153386,0.9187667510568768,0.7604670740204347,0.000917335917680769,0.0012938315413898677
GBSA-TCL_vs_C0,TCL,85018,cell,0.25,0.75,early_0_30,0.022293279480721802,0.03696520771088551,0.9993685227159952,0.6030881702351933,0.5965608392292288
GBSA-TCL_vs_C0,TCL,85019,atomic_numbers,0.25,0.75,early_0_30,1.1790555829678546,0.08672206423543699,0.9962706670800846,13.595797025390226,13.426600718993415
GBSA-TCL_vs_C0,TCL,85019,pos,0.25,0.75,early_0_30,0.0029303120198753384,1.3350134530891733,0.8142326893438303,0.0021949681578823806,0.004425960769796074
GBSA-TCL_vs_C0,TCL,85019,cell,0.25,0.75,early_0_30,0.02033676655488532,0.023051693080180593,0.9997903680080181,0.8822244198787502,0.891382751158197
GBSA-TCL_vs_C0,TCL,85020,atomic_numbers,0.25,0.75,early_0_30,1.1996410419377446,0.1271802553623593,0.9940058458561881,9.43260444413917,8.763130524336166
GBSA-TCL_vs_C0,TCL,85020,pos,0.25,0.75,early_0_30,0.0003793589112364475,0.5046329110823753,0.954002999305358,0.0007517522200895883,0.0010223298112105401
GBSA-TCL_vs_C0,TCL,85020,cell,0.25,0.75,early_0_30,0.009747103525797055,0.009032879425764232,0.9999613553030389,1.0790693716109685,1.081266580386977
GBSA-TCL_vs_C0,TCL,85021,atomic_numbers,0.25,0.75,early_0_30,1.2360955231178108,0.08474192883422318,0.9986641245389015,14.58658706643236,13.58738320980008
GBSA-TCL_vs_C0,TCL,85021,pos,0.25,0.75,early_0_30,0.0016698019146942583,0.8457208490820374,0.8552396946068026,0.001974412616771474,0.003008175465340572
GBSA-TCL_vs_C0,TCL,85021,cell,0.25,0.75,early_0_30,0.022368252110966224,0.028788684828231808,0.9996209856632025,0.7769806868367483,0.7832286981696018
