method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,tail_flags,dft_verified
FT0,85014,Mn7As4,0.04722005721909284,True,True,True,True,0.03859982745367548,0.4382901118780127,1.0385001288971423,40,MaxF>1,False
FT0,85015,MnP,0.02091511073730512,True,False,False,True,0.02530803786542427,0.2432178424274579,0.6204810811338343,38,,False
FT0,85016,Mn4AsP3,0.036881862907715224,True,False,False,True,0.020822615965973765,0.15403973491234818,0.342458194733038,36,,False
FT0,85017,Mn12SnC7,0.25126241029313867,False,False,True,True,0.2058493444237637,0.4591485676164253,0.7471901772327908,251,Steps>200,False
FT0,85018,Mn4VC,0.20931473865791972,False,False,True,True,0.4140217152450383,0.1725652053596672,0.3979695957519339,139,,False
FT0,85019,Mn11C5,0.2571346004367996,False,False,True,True,0.4137189620188066,0.6384715526255962,1.0373404787461213,313,MaxF>1;Steps>200,False
FT0,85020,SiPt3,0.1533574752099609,False,False,True,True,0.01762994365315359,0.21851504233747568,0.31070720359312964,12,,False
FT0,85021,Mn2C,0.15807876045537483,False,False,True,True,0.07462214514321655,0.42463125013100583,1.1463726997947463,67,MaxF>1,False
FT0,85022,Mn7AlC4,0.13233684704328041,False,False,True,True,0.021133606697408346,0.3025234206928556,0.4967609743894521,51,,False
FT0,85023,Mn4C,0.1823956502278179,False,False,True,True,0.19659574237416239,0.4314850827215261,0.8343634726210625,75,,False
FT0,85024,Mn3Rh,0.24954498392300373,False,False,False,True,0.001463740030096446,0.02628060083128224,0.03834708381791371,14,,False
FT0,85025,Mn6SiC3,0.1573618319512562,False,False,True,True,0.06293563041455116,0.19854424059775644,0.37371126937830884,50,,False
FT0,85026,Mn8C3,0.23770401559442966,False,False,True,True,0.014381364253219935,0.3176361129453371,0.8007696895112006,36,,False
FT0,85027,Mn11C5,0.21385781363260037,False,False,True,True,0.152573087949394,0.42239288053242385,0.9088441343699135,169,,False
FT0,85028,Mn5Fe3C4,0.0849322922635718,True,True,True,True,0.02248592627141495,0.186437332888959,0.31699060611585783,38,,False
FT0,85029,Mn3C,0.13303270357198826,False,False,True,True,0.002581175994586596,0.1220890560916042,0.24506274869901115,26,,False
FT0,85030,EuAu,0.041606823253173886,True,False,False,True,0.00029029673972447574,0.020696199824340584,0.02746540079892518,6,,False
FT0,85031,Mn3As2,0.08906084623410493,True,True,True,True,0.06423221736362167,0.18434711894366956,0.41708011015197366,44,,False
TCL,85000,Mn10Co3C4,0.23889424312899443,False,False,True,True,0.0951312904016976,0.6217349468467601,1.8889070981360492,102,MaxF>1,False
TCL,85001,Eu4Ge2Cl,0.17186126491490583,False,False,True,True,0.0008871430184804144,0.009691094749305474,0.016328640996347493,24,,False
TCL,85002,Mn12Fe4C3,0.1466140426428506,False,False,True,True,0.23796324397953697,0.5204519556268176,0.9830380305558175,338,Steps>200,False
TCL,85003,Eu7(LuSi)2,0.18695726119791622,False,False,True,True,0.08886849633452719,0.08201465401597291,0.13297197727188012,28,,False
TCL,85004,EuZn2Pd,0.07007834058878615,True,True,True,True,0.12278521415317646,0.10313980340172754,0.15344300310888404,61,,False
TCL,85005,Eu5Si2,0.02619528236514057,True,True,True,True,0.13501804046962143,0.10851508379994314,0.2125529753194224,59,,False
TCL,85006,Gd6SiPb2,-0.11571233031249939,True,True,True,True,0.016707629937582208,0.07388659449390628,0.14781359347138073,26,,False
TCL,85007,Eu2IN,0.01968261891601486,True,False,False,True,0.0023605611647404524,0.14972781427201765,0.2982600187582682,5,,False
TCL,85008,Eu2Sn,0.035252064277344175,True,False,False,True,0.013174247421793787,0.06379048368089582,0.12722973131388984,22,,False
TCL,85009,EuCu,0.11013740149414097,False,False,True,True,0.0397298972801924,0.04256801466270053,0.09018411776897914,20,,False
TCL,85010,EuAsAu,0.02139695972005118,True,False,False,True,0.0016232241949943652,0.021403823195508386,0.03009031394283217,7,,False
